lee-lay	L IY0 L EY0
lah-sho	L AA0 SH OW0
lah-bay	L AA0 B EY0
lah-bah	L AA0 B AA0
lah-day	L AA0 D EY0
lah-dah	L AA0 D AA0
lah-doe	L AA0 D OW0
lah-ghee	L AA0 G IY0
lah-gay	L AA0 G EY0
lah-gah	L AA0 G AA0
lah-pee	L AA0 P IY0
lah-pay	L AA0 P EY0
lah-pah	L AA0 P AA0
lah-po	L AA0 P OW0
lah-tah	L AA0 T AA0
lah-kay	L AA0 K EY0
lah-kah	L AA0 K AA0
lo-lay	L OW0 L EY0
lo-lah	L OW0 L AA0
lo-lo	L OW0 L OW0
lo-may	L OW0 M EY0
lo-mah	L OW0 M AA0
lo-mo	L OW0 M OW0
lo-nay	L OW0 N EY0
lo-nah	L OW0 N AA0
lo-no	L OW0 N OW0
lo-vee	L OW0 V IY0
lo-vay	L OW0 V EY0
lo-vah	L OW0 V AA0
lo-vo	L OW0 V OW0
lothey	L OW0 DH IY0
lo-they	L OW0 DH EY0
lo-though	L OW0 DH OW0
lo-zee	L OW0 Z IY0
lo-zay	L OW0 Z EY0
lo-zah	L OW0 Z AA0
lo-zo	L OW0 Z OW0
lo-fee	L OW0 F IY0
lo-fay	L OW0 F EY0
lo-fah	L OW0 F AA0
lo-fo	L OW0 F OW0
lo-say	L OW0 S EY0
lo-sah	L OW0 S AA0
lo-shee	L OW0 SH IY0
lo-shay	L OW0 SH EY0
lo-shah	L OW0 SH AA0
lo-sho	L OW0 SH OW0
lo-bee	L OW0 B IY0
lo-bay	L OW0 B EY0
lo-bah	L OW0 B AA0
lo-dee	L OW0 D IY0
lo-day	L OW0 D EY0
lo-dah	L OW0 D AA0
lo-doe	L OW0 D OW0
lo-ghee	L OW0 G IY0
lo-gay	L OW0 G EY0
lo-gah	L OW0 G AA0
lo-pee	L OW0 P IY0
lo-pay	L OW0 P EY0
lo-pah	L OW0 P AA0
lo-po	L OW0 P OW0
lo-tee	L OW0 T IY0
lo-tay	L OW0 T EY0
lo-tah	L OW0 T AA0
lo-toe	L OW0 T OW0
lo-kay	L OW0 K EY0
lo-kah	L OW0 K AA0
mee-lay	M IY0 L EY0
mee-lah	M IY0 L AA0
mee-lo	M IY0 L OW0
mee-may	M IY0 M EY0
mee-mah	M IY0 M AA0
mee-mo	M IY0 M OW0
mee-nay	M IY0 N EY0
mee-nah	M IY0 N AA0
mee-vee	M IY0 V IY0
mee-vay	M IY0 V EY0
mee-vah	M IY0 V AA0
mee-vo	M IY0 V OW0
meethey	M IY0 DH IY0
mee-they	M IY0 DH EY0
mee-though	M IY0 DH OW0
mee-zee	M IY0 Z IY0
mee-zay	M IY0 Z EY0
mee-zah	M IY0 Z AA0
mee-zo	M IY0 Z OW0
mee-fee	M IY0 F IY0
mee-fay	M IY0 F EY0
mee-fah	M IY0 F AA0
mee-fo	M IY0 F OW0
mee-see	M IY0 S IY0
mee-say	M IY0 S EY0
mee-sah	M IY0 S AA0
mee-so	M IY0 S OW0
mee-shee	M IY0 SH IY0
mee-shay	M IY0 SH EY0
mee-shah	M IY0 SH AA0
mee-sho	M IY0 SH OW0
mee-bay	M IY0 B EY0
mee-bah	M IY0 B AA0
mee-bo	M IY0 B OW0
mee-day	M IY0 D EY0
mee-dah	M IY0 D AA0
mee-doe	M IY0 D OW0
mee-gay	M IY0 G EY0
mee-gah	M IY0 G AA0
mee-go	M IY0 G OW0
mee-pee	M IY0 P IY0
mee-pay	M IY0 P EY0
mee-pah	M IY0 P AA0
mee-po	M IY0 P OW0
mee-tay	M IY0 T EY0
mee-tah	M IY0 T AA0
mee-toe	M IY0 T OW0
mee-kay	M IY0 K EY0
mee-kah	M IY0 K AA0
mee-ko	M IY0 K OW0
may-lah	M EY0 L AA0
may-lo	M EY0 L OW0
may-may	M EY0 M EY0
may-mah	M EY0 M AA0
may-mo	M EY0 M OW0
may-nay	M EY0 N EY0
may-nah	M EY0 N AA0
may-vee	M EY0 V IY0
may-vay	M EY0 V EY0
may-vah	M EY0 V AA0
may-vo	M EY0 V OW0
maythey	M EY0 DH IY0
may-they	M EY0 DH EY0
may-though	M EY0 DH OW0
may-zay	M EY0 Z EY0
may-zah	M EY0 Z AA0
may-zo	M EY0 Z OW0
may-fee	M EY0 F IY0
may-fay	M EY0 F EY0
may-fah	M EY0 F AA0
may-fo	M EY0 F OW0
may-say	M EY0 S EY0
may-sah	M EY0 S AA0
may-so	M EY0 S OW0
may-shee	M EY0 SH IY0
may-shay	M EY0 SH EY0
may-shah	M EY0 SH AA0
may-sho	M EY0 SH OW0
may-bay	M EY0 B EY0
may-bah	M EY0 B AA0
may-bo	M EY0 B OW0
may-dah	M EY0 D AA0
may-doe	M EY0 D OW0
may-ghee	M EY0 G IY0
may-gay	M EY0 G EY0
may-gah	M EY0 G AA0
may-go	M EY0 G OW0
may-pee	M EY0 P IY0
may-pay	M EY0 P EY0
may-pah	M EY0 P AA0
may-po	M EY0 P OW0
may-tay	M EY0 T EY0
may-tah	M EY0 T AA0
may-toe	M EY0 T OW0
may-kee	M EY0 K IY0
may-kay	M EY0 K EY0
may-kah	M EY0 K AA0
mah-lay	M AA0 L EY0
mah-lah	M AA0 L AA0
mah-may	M AA0 M EY0
mah-mah	M AA0 M AA0
mah-mo	M AA0 M OW0
mah-nay	M AA0 N EY0
mah-nah	M AA0 N AA0
mah-vay	M AA0 V EY0
mah-vah	M AA0 V AA0
mah-vo	M AA0 V OW0
mahthey	M AA0 DH IY0
mah-they	M AA0 DH EY0
mah-though	M AA0 DH OW0
mah-zay	M AA0 Z EY0
mah-zah	M AA0 Z AA0
mah-fee	M AA0 F IY0
mah-fay	M AA0 F EY0
mah-fah	M AA0 F AA0
mah-fo	M AA0 F OW0
mah-say	M AA0 S EY0
mah-so	M AA0 S OW0
mah-shay	M AA0 SH EY0
mah-shah	M AA0 SH AA0
mah-sho	M AA0 SH OW0
mah-bee	M AA0 B IY0
mah-bay	M AA0 B EY0
mah-bah	M AA0 B AA0
mah-bo	M AA0 B OW0
mah-dah	M AA0 D AA0
mah-doe	M AA0 D OW0
mah-ghee	M AA0 G IY0
mah-gah	M AA0 G AA0
mah-go	M AA0 G OW0
mah-pee	M AA0 P IY0
mah-pay	M AA0 P EY0
mah-pah	M AA0 P AA0
mah-po	M AA0 P OW0
mah-tee	M AA0 T IY0
mah-tay	M AA0 T EY0
mah-tah	M AA0 T AA0
mah-kay	M AA0 K EY0
mah-kah	M AA0 K AA0
mo-lay	M OW0 L EY0
mo-lah	M OW0 L AA0
mo-lo	M OW0 L OW0
mo-may	M OW0 M EY0
mo-mah	M OW0 M AA0
mo-mo	M OW0 M OW0
mo-nah	M OW0 N AA0
mo-vee	M OW0 V IY0
mo-vay	M OW0 V EY0
mo-vah	M OW0 V AA0
mo-vo	M OW0 V OW0
mothey	M OW0 DH IY0
mo-they	M OW0 DH EY0
mo-though	M OW0 DH OW0
mo-zay	M OW0 Z EY0
mo-zah	M OW0 Z AA0
mo-zo	M OW0 Z OW0
mo-fee	M OW0 F IY0
mo-fay	M OW0 F EY0
mo-fah	M OW0 F AA0
mo-fo	M OW0 F OW0
mo-see	M OW0 S IY0
mo-say	M OW0 S EY0
mo-sah	M OW0 S AA0
mo-shee	M OW0 SH IY0
mo-shay	M OW0 SH EY0
mo-shah	M OW0 SH AA0
mo-sho	M OW0 SH OW0
mo-bah	M OW0 B AA0
mo-bo	M OW0 B OW0
mo-day	M OW0 D EY0
mo-dah	M OW0 D AA0
mo-doe	M OW0 D OW0
mo-ghee	M OW0 G IY0
mo-gay	M OW0 G EY0
mo-gah	M OW0 G AA0
mo-go	M OW0 G OW0
mo-pee	M OW0 P IY0
mo-pay	M OW0 P EY0
mo-pah	M OW0 P AA0
mo-po	M OW0 P OW0
mo-tay	M OW0 T EY0
mo-tah	M OW0 T AA0
mo-toe	M OW0 T OW0
mo-kee	M OW0 K IY0
mo-kay	M OW0 K EY0
mo-kah	M OW0 K AA0
mo-ko	M OW0 K OW0
nee-lay	N IY0 L EY0
nee-lah	N IY0 L AA0
nee-lo	N IY0 L OW0
nee-may	N IY0 M EY0
nee-mah	N IY0 M AA0
nee-mo	N IY0 M OW0
nee-nee	N IY0 N IY0
nee-nay	N IY0 N EY0
nee-nah	N IY0 N AA0
nee-vee	N IY0 V IY0
nee-vay	N IY0 V EY0
nee-vah	N IY0 V AA0
nee-vo	N IY0 V OW0
neethey	N IY0 DH IY0
nee-they	N IY0 DH EY0
nee-though	N IY0 DH OW0
nee-zee	N IY0 Z IY0
nee-zay	N IY0 Z EY0
nee-zah	N IY0 Z AA0
nee-zo	N IY0 Z OW0
nee-fee	N IY0 F IY0
nee-fay	N IY0 F EY0
nee-fah	N IY0 F AA0
nee-fo	N IY0 F OW0
nee-see	N IY0 S IY0
nee-say	N IY0 S EY0
nee-sah	N IY0 S AA0
nee-so	N IY0 S OW0
nee-shay	N IY0 SH EY0
nee-shah	N IY0 SH AA0
nee-sho	N IY0 SH OW0
nee-bee	N IY0 B IY0
nee-bay	N IY0 B EY0
nee-bah	N IY0 B AA0
nee-bo	N IY0 B OW0
nee-day	N IY0 D EY0
nee-dah	N IY0 D AA0
nee-doe	N IY0 D OW0
nee-ghee	N IY0 G IY0
nee-gay	N IY0 G EY0
nee-gah	N IY0 G AA0
nee-go	N IY0 G OW0
nee-pee	N IY0 P IY0
nee-pay	N IY0 P EY0
nee-pah	N IY0 P AA0
nee-po	N IY0 P OW0
nee-tee	N IY0 T IY0
nee-tay	N IY0 T EY0
nee-tah	N IY0 T AA0
nee-kay	N IY0 K EY0
nee-kah	N IY0 K AA0
nay-lee	N EY0 L IY0
nay-lay	N EY0 L EY0
nay-lah	N EY0 L AA0
nay-lo	N EY0 L OW0
nay-mee	N EY0 M IY0
nay-may	N EY0 M EY0
nay-mah	N EY0 M AA0
nay-mo	N EY0 M OW0
nay-nee	N EY0 N IY0
nay-nay	N EY0 N EY0
nay-nah	N EY0 N AA0
nay-no	N EY0 N OW0
nay-vay	N EY0 V EY0
nay-vah	N EY0 V AA0
nay-vo	N EY0 V OW0
naythey	N EY0 DH IY0
nay-they	N EY0 DH EY0
nay-though	N EY0 DH OW0
nay-zee	N EY0 Z IY0
nay-zay	N EY0 Z EY0
nay-zah	N EY0 Z AA0
nay-zo	N EY0 Z OW0
nay-fee	N EY0 F IY0
nay-fay	N EY0 F EY0
nay-fah	N EY0 F AA0
nay-fo	N EY0 F OW0
nay-see	N EY0 S IY0
nay-say	N EY0 S EY0
nay-sah	N EY0 S AA0
nay-so	N EY0 S OW0
nay-shee	N EY0 SH IY0
nay-shay	N EY0 SH EY0
nay-shah	N EY0 SH AA0
nay-sho	N EY0 SH OW0
nay-bee	N EY0 B IY0
nay-bay	N EY0 B EY0
nay-bah	N EY0 B AA0
nay-bo	N EY0 B OW0
nay-dee	N EY0 D IY0
nay-day	N EY0 D EY0
nay-dah	N EY0 D AA0
nay-doe	N EY0 D OW0
nay-gay	N EY0 G EY0
nay-gah	N EY0 G AA0
nay-go	N EY0 G OW0
nay-pee	N EY0 P IY0
nay-pay	N EY0 P EY0
nay-pah	N EY0 P AA0
nay-po	N EY0 P OW0
nay-tee	N EY0 T IY0
nay-tay	N EY0 T EY0
nay-tah	N EY0 T AA0
nay-kee	N EY0 K IY0
nay-kay	N EY0 K EY0
nay-kah	N EY0 K AA0
nay-ko	N EY0 K OW0
nah-lay	N AA0 L EY0
nah-lah	N AA0 L AA0
nah-lo	N AA0 L OW0
nah-mee	N AA0 M IY0
nah-may	N AA0 M EY0
nah-mah	N AA0 M AA0
nah-mo	N AA0 M OW0
nah-nay	N AA0 N EY0
nah-no	N AA0 N OW0
nah-vee	N AA0 V IY0
nah-vay	N AA0 V EY0
nah-vah	N AA0 V AA0
nah-vo	N AA0 V OW0
nahthey	N AA0 DH IY0
nah-they	N AA0 DH EY0
nah-though	N AA0 DH OW0
nah-zee	N AA0 Z IY0
nah-zay	N AA0 Z EY0
nah-zah	N AA0 Z AA0
nah-zo	N AA0 Z OW0
nah-fee	N AA0 F IY0
nah-fay	N AA0 F EY0
nah-fah	N AA0 F AA0
nah-fo	N AA0 F OW0
nah-see	N AA0 S IY0
nah-say	N AA0 S EY0
nah-sah	N AA0 S AA0
nah-shee	N AA0 SH IY0
nah-shay	N AA0 SH EY0
nah-shah	N AA0 SH AA0
nah-sho	N AA0 SH OW0
nah-bay	N AA0 B EY0
nah-bah	N AA0 B AA0
nah-bo	N AA0 B OW0
nah-dee	N AA0 D IY0
nah-day	N AA0 D EY0
nah-doe	N AA0 D OW0
nah-gay	N AA0 G EY0
nah-gah	N AA0 G AA0
nah-go	N AA0 G OW0
nah-pee	N AA0 P IY0
nah-pay	N AA0 P EY0
nah-pah	N AA0 P AA0
nah-po	N AA0 P OW0
nah-tay	N AA0 T EY0
nah-tah	N AA0 T AA0
nah-toe	N AA0 T OW0
nah-kay	N AA0 K EY0
nah-kah	N AA0 K AA0
nah-ko	N AA0 K OW0
no-lay	N OW0 L EY0
no-lah	N OW0 L AA0
no-may	N OW0 M EY0
no-mah	N OW0 M AA0
no-nee	N OW0 N IY0
no-nay	N OW0 N EY0
no-nah	N OW0 N AA0
no-no	N OW0 N OW0
no-vay	N OW0 V EY0
no-vah	N OW0 V AA0
nothey	N OW0 DH IY0
no-they	N OW0 DH EY0
no-though	N OW0 DH OW0
no-zay	N OW0 Z EY0
no-zah	N OW0 Z AA0
no-zo	N OW0 Z OW0
no-fee	N OW0 F IY0
no-fay	N OW0 F EY0
no-fah	N OW0 F AA0
no-fo	N OW0 F OW0
no-see	N OW0 S IY0
no-say	N OW0 S EY0
no-sah	N OW0 S AA0
no-so	N OW0 S OW0
no-shee	N OW0 SH IY0
no-shay	N OW0 SH EY0
no-shah	N OW0 SH AA0
no-sho	N OW0 SH OW0
no-bee	N OW0 B IY0
no-bay	N OW0 B EY0
no-bah	N OW0 B AA0
no-bo	N OW0 B OW0
no-dee	N OW0 D IY0
no-day	N OW0 D EY0
no-dah	N OW0 D AA0
no-doe	N OW0 D OW0
no-ghee	N OW0 G IY0
no-gay	N OW0 G EY0
no-gah	N OW0 G AA0
no-pee	N OW0 P IY0
no-pay	N OW0 P EY0
no-pah	N OW0 P AA0
no-po	N OW0 P OW0
no-tee	N OW0 T IY0
no-tay	N OW0 T EY0
no-tah	N OW0 T AA0
no-kay	N OW0 K EY0
no-kah	N OW0 K AA0
no-ko	N OW0 K OW0
vee-lee	V IY0 L IY0
vee-lay	V IY0 L EY0
vee-lah	V IY0 L AA0
vee-lo	V IY0 L OW0
vee-mee	V IY0 M IY0
vee-may	V IY0 M EY0
vee-mah	V IY0 M AA0
vee-mo	V IY0 M OW0
vee-nay	V IY0 N EY0
vee-nah	V IY0 N AA0
vee-no	V IY0 N OW0
vee-vee	V IY0 V IY0
vee-vay	V IY0 V EY0
vee-vah	V IY0 V AA0
veethey	V IY0 DH IY0
vee-they	V IY0 DH EY0
vee-though	V IY0 DH OW0
vee-zay	V IY0 Z EY0
vee-zah	V IY0 Z AA0
vee-zo	V IY0 Z OW0
vee-fee	V IY0 F IY0
vee-fay	V IY0 F EY0
vee-fah	V IY0 F AA0
vee-fo	V IY0 F OW0
vee-say	V IY0 S EY0
vee-sah	V IY0 S AA0
vee-so	V IY0 S OW0
vee-shay	V IY0 SH EY0
vee-shah	V IY0 SH AA0
vee-sho	V IY0 SH OW0
vee-bee	V IY0 B IY0
vee-bay	V IY0 B EY0
vee-bah	V IY0 B AA0
vee-bo	V IY0 B OW0
vee-dee	V IY0 D IY0
vee-day	V IY0 D EY0
vee-dah	V IY0 D AA0
vee-doe	V IY0 D OW0
vee-ghee	V IY0 G IY0
vee-gay	V IY0 G EY0
vee-gah	V IY0 G AA0
vee-pee	V IY0 P IY0
vee-pay	V IY0 P EY0
vee-pah	V IY0 P AA0
vee-po	V IY0 P OW0
vee-tay	V IY0 T EY0
vee-tah	V IY0 T AA0
vee-kee	V IY0 K IY0
vee-kay	V IY0 K EY0
vee-kah	V IY0 K AA0
vay-lee	V EY0 L IY0
vay-lay	V EY0 L EY0
vay-lah	V EY0 L AA0
vay-mee	V EY0 M IY0
vay-may	V EY0 M EY0
vay-mah	V EY0 M AA0
vay-mo	V EY0 M OW0
vay-nay	V EY0 N EY0
vay-nah	V EY0 N AA0
vay-vee	V EY0 V IY0
vay-vay	V EY0 V EY0
vay-vah	V EY0 V AA0
vay-vo	V EY0 V OW0
vaythey	V EY0 DH IY0
vay-they	V EY0 DH EY0
vay-though	V EY0 DH OW0
vay-zee	V EY0 Z IY0
vay-zay	V EY0 Z EY0
vay-zah	V EY0 Z AA0
vay-zo	V EY0 Z OW0
vay-fee	V EY0 F IY0
vay-fay	V EY0 F EY0
vay-fah	V EY0 F AA0
vay-fo	V EY0 F OW0
vay-see	V EY0 S IY0
vay-say	V EY0 S EY0
vay-sah	V EY0 S AA0
vay-so	V EY0 S OW0
vay-shee	V EY0 SH IY0
vay-shay	V EY0 SH EY0
vay-shah	V EY0 SH AA0
vay-sho	V EY0 SH OW0
vay-bee	V EY0 B IY0
vay-bay	V EY0 B EY0
vay-bah	V EY0 B AA0
vay-bo	V EY0 B OW0
vay-dee	V EY0 D IY0
vay-day	V EY0 D EY0
vay-dah	V EY0 D AA0
vay-doe	V EY0 D OW0
vay-ghee	V EY0 G IY0
vay-gay	V EY0 G EY0
vay-gah	V EY0 G AA0
vay-go	V EY0 G OW0
vay-pee	V EY0 P IY0
vay-pay	V EY0 P EY0
vay-pah	V EY0 P AA0
vay-po	V EY0 P OW0
vay-tee	V EY0 T IY0
vay-tay	V EY0 T EY0
vay-tah	V EY0 T AA0
vay-toe	V EY0 T OW0
vay-kee	V EY0 K IY0
vay-kay	V EY0 K EY0
vay-kah	V EY0 K AA0
vay-ko	V EY0 K OW0
vah-lay	V AA0 L EY0
vah-lah	V AA0 L AA0
vah-lo	V AA0 L OW0
vah-mee	V AA0 M IY0
vah-may	V AA0 M EY0
vah-mah	V AA0 M AA0
vah-mo	V AA0 M OW0
vah-nay	V AA0 N EY0
vah-nah	V AA0 N AA0
vah-vee	V AA0 V IY0
vah-vay	V AA0 V EY0
vah-vah	V AA0 V AA0
vah-vo	V AA0 V OW0
vahthey	V AA0 DH IY0
vah-they	V AA0 DH EY0
vah-though	V AA0 DH OW0
vah-zee	V AA0 Z IY0
vah-zay	V AA0 Z EY0
vah-zah	V AA0 Z AA0
vah-zo	V AA0 Z OW0
vah-fee	V AA0 F IY0
vah-fay	V AA0 F EY0
vah-fah	V AA0 F AA0
vah-fo	V AA0 F OW0
vah-see	V AA0 S IY0
vah-say	V AA0 S EY0
vah-sah	V AA0 S AA0
vah-so	V AA0 S OW0
vah-shee	V AA0 SH IY0
vah-shay	V AA0 SH EY0
vah-shah	V AA0 SH AA0
vah-sho	V AA0 SH OW0
vah-bee	V AA0 B IY0
vah-bay	V AA0 B EY0
vah-bah	V AA0 B AA0
vah-bo	V AA0 B OW0
vah-dee	V AA0 D IY0
vah-day	V AA0 D EY0
vah-dah	V AA0 D AA0
vah-doe	V AA0 D OW0
vah-ghee	V AA0 G IY0
vah-gay	V AA0 G EY0
vah-gah	V AA0 G AA0
vah-go	V AA0 G OW0
vah-pee	V AA0 P IY0
vah-pay	V AA0 P EY0
vah-pah	V AA0 P AA0
vah-po	V AA0 P OW0
vah-tee	V AA0 T IY0
vah-tay	V AA0 T EY0
vah-tah	V AA0 T AA0
vah-toe	V AA0 T OW0
vah-kee	V AA0 K IY0
vah-kay	V AA0 K EY0
vah-kah	V AA0 K AA0
vah-ko	V AA0 K OW0
vo-lee	V OW0 L IY0
vo-lay	V OW0 L EY0
vo-lah	V OW0 L AA0
vo-lo	V OW0 L OW0
vo-mee	V OW0 M IY0
vo-may	V OW0 M EY0
vo-mah	V OW0 M AA0
vo-mo	V OW0 M OW0
vo-nee	V OW0 N IY0
vo-nay	V OW0 N EY0
vo-nah	V OW0 N AA0
vo-no	V OW0 N OW0
vo-vee	V OW0 V IY0
vo-vay	V OW0 V EY0
vo-vah	V OW0 V AA0
vo-vo	V OW0 V OW0
vothey	V OW0 DH IY0
vo-they	V OW0 DH EY0
vo-though	V OW0 DH OW0
vo-zee	V OW0 Z IY0
vo-zay	V OW0 Z EY0
vo-zah	V OW0 Z AA0
vo-zo	V OW0 Z OW0
vo-fee	V OW0 F IY0
vo-fay	V OW0 F EY0
vo-fah	V OW0 F AA0
vo-fo	V OW0 F OW0
vo-see	V OW0 S IY0
vo-say	V OW0 S EY0
vo-sah	V OW0 S AA0
vo-so	V OW0 S OW0
vo-shee	V OW0 SH IY0
vo-shay	V OW0 SH EY0
vo-shah	V OW0 SH AA0
vo-sho	V OW0 SH OW0
vo-bee	V OW0 B IY0
vo-bay	V OW0 B EY0
vo-bah	V OW0 B AA0
vo-bo	V OW0 B OW0
vo-dee	V OW0 D IY0
vo-day	V OW0 D EY0
vo-dah	V OW0 D AA0
vo-doe	V OW0 D OW0
vo-ghee	V OW0 G IY0
vo-gay	V OW0 G EY0
vo-gah	V OW0 G AA0
vo-go	V OW0 G OW0
vo-pee	V OW0 P IY0
vo-pay	V OW0 P EY0
vo-pah	V OW0 P AA0
vo-po	V OW0 P OW0
vo-tee	V OW0 T IY0
vo-tay	V OW0 T EY0
vo-tah	V OW0 T AA0
vo-toe	V OW0 T OW0
vo-kee	V OW0 K IY0
vo-kay	V OW0 K EY0
vo-kah	V OW0 K AA0
vo-ko	V OW0 K OW0
they-lee	DH EY0 L IY0
they-lay	DH EY0 L EY0
they-lah	DH EY0 L AA0
they-lo	DH EY0 L OW0
they-mee	DH EY0 M IY0
they-may	DH EY0 M EY0
they-mah	DH EY0 M AA0
they-mo	DH EY0 M OW0
they-nee	DH EY0 N IY0
they-nay	DH EY0 N EY0
they-nah	DH EY0 N AA0
they-no	DH EY0 N OW0
they-vee	DH EY0 V IY0
they-vay	DH EY0 V EY0
they-vah	DH EY0 V AA0
they-vo	DH EY0 V OW0
theythey	DH EY0 DH IY0
they-they	DH EY0 DH EY0
they-though	DH EY0 DH OW0
they-zee	DH EY0 Z IY0
they-zay	DH EY0 Z EY0
they-zah	DH EY0 Z AA0
they-zo	DH EY0 Z OW0
they-fee	DH EY0 F IY0
they-fay	DH EY0 F EY0
they-fah	DH EY0 F AA0
they-fo	DH EY0 F OW0
they-see	DH EY0 S IY0
they-say	DH EY0 S EY0
they-sah	DH EY0 S AA0
they-so	DH EY0 S OW0
they-shee	DH EY0 SH IY0
they-shay	DH EY0 SH EY0
they-shah	DH EY0 SH AA0
they-sho	DH EY0 SH OW0
they-bee	DH EY0 B IY0
they-bay	DH EY0 B EY0
they-bah	DH EY0 B AA0
they-bo	DH EY0 B OW0
they-dee	DH EY0 D IY0
they-day	DH EY0 D EY0
they-dah	DH EY0 D AA0
they-doe	DH EY0 D OW0
they-ghee	DH EY0 G IY0
they-gay	DH EY0 G EY0
they-gah	DH EY0 G AA0
they-go	DH EY0 G OW0
they-pee	DH EY0 P IY0
they-pay	DH EY0 P EY0
they-pah	DH EY0 P AA0
they-po	DH EY0 P OW0
they-tee	DH EY0 T IY0
they-tay	DH EY0 T EY0
they-tah	DH EY0 T AA0
they-toe	DH EY0 T OW0
they-kee	DH EY0 K IY0
they-kay	DH EY0 K EY0
they-kah	DH EY0 K AA0
they-ko	DH EY0 K OW0
though-lee	DH OW0 L IY0
though-lay	DH OW0 L EY0
though-lah	DH OW0 L AA0
though-lo	DH OW0 L OW0
though-mee	DH OW0 M IY0
though-may	DH OW0 M EY0
though-mah	DH OW0 M AA0
though-mo	DH OW0 M OW0
though-nee	DH OW0 N IY0
though-nay	DH OW0 N EY0
though-nah	DH OW0 N AA0
though-no	DH OW0 N OW0
though-vee	DH OW0 V IY0
though-vay	DH OW0 V EY0
though-vah	DH OW0 V AA0
though-vo	DH OW0 V OW0
thoughthey	DH OW0 DH IY0
though-they	DH OW0 DH EY0
though-though	DH OW0 DH OW0
though-zee	DH OW0 Z IY0
though-zay	DH OW0 Z EY0
though-zah	DH OW0 Z AA0
though-zo	DH OW0 Z OW0
though-fee	DH OW0 F IY0
