index,ipa,alphabet
230,mejðej,may-they
231,mejðow,may-though
232,mejzi,mayzee
233,mejzej,mayzaye
234,mejzow,mayzow
235,mejfi,mayfee
236,mejfej,mayfaye
237,mejfow,mayfow
238,mejsi,maysee
239,mejsej,maysaye
240,mejsow,maysow
241,mejʃi,mayshee
242,mejʃej,mayshaye
243,mejʃow,mayshow
244,mejbi,maybee
245,mejbej,maybaye
246,mejbow,maybow
247,mejdi,maydee
248,mejdej,maydaye
249,mejdow,maydow
250,mejɡi,mayggee
251,mejɡej,maygaye
252,mejɡow,maygow
253,mejpi,maypee
254,mejpej,maypaye
255,mejpow,maypow
256,mejti,maytee
257,mejtej,maytaye
258,mejtow,maytow
259,mejki,maykee
260,mejkej,maykaye
261,mejkow,mayko
262,mɑli,mahlee
263,mɑlej,mahlaye
264,mɑlow,mahlow
265,mɑmej,mahmaye
266,mɑmow,mahmow
267,mɑnej,mahnaye
268,mɑvej,mahvaye
269,mɑvow,mahvow
270,mɑði,mahthey
271,mɑðej,mah-they
272,mɑðow,mah-though
273,mɑzej,mahzaye
274,mɑfi,mahfee
275,mɑfej,mahfaye
276,mɑfow,mahfow
277,mɑsej,mahsaye
278,mɑsow,mahsow
279,mɑʃi,mahshee
280,mɑʃej,mahshaye
281,mɑʃow,mahshow
282,mɑbi,mahbee
283,mɑbej,mahbaye
284,mɑbow,mahbow
285,mɑdej,mahdaye
286,mɑdow,mahdow
287,mɑɡi,mahggee
288,mɑɡej,mahgaye
289,mɑɡow,mahgow
290,mɑpi,mahpee
291,mɑpej,mahpaye
292,mɑpow,mahpow
293,mɑti,mahtee
294,mɑtej,mahtaye
295,mɑkej,mahkaye
296,mowli,moelee
297,mowlej,moelaye
298,mowlow,moelow
299,mowmej,moemaye
300,mowmow,moemow
301,mownej,moanaye
302,mowvi,moevee
303,mowvej,moevaye
304,mowvow,moevow
305,mowði,moethey
306,mowðej,moe-they
307,mowðow,moe-though
308,mowzej,moezaye
309,mowzow,moezow
310,mowfi,moefee
311,mowfej,moefaye
312,mowfow,moefow
313,mowsi,moesee
314,mowsej,moesaye
315,mowʃi,moeshee
316,mowʃej,moeshaye
317,mowʃow,moeshow
318,mowbej,moebaye
319,mowbow,moebow
320,mowdej,moedaye
321,mowdow,moedow
322,mowɡi,moeggee
323,mowɡej,moegaye
324,mowɡow,moegow
325,mowpi,moepee
326,mowpej,moepaye
327,mowpow,moepow
328,mowtej,moetaye
329,mowki,moekee
330,mowkej,moekaye
331,mowkow,moeko
332,nili,neelee
333,nilej,neelaye
334,nilow,neelow
335,nimej,neemaye
336,ninej,neenaye
337,nivi,neevee
338,nivej,neevaye
339,niði,neethey
340,niðej,nee-they
341,niðow,nee-though
342,nizi,neezee
343,nizej,neezaye
344,nizow,neezow
345,nifi,neefee
346,nifej,neefaye
347,nifow,neefow
348,nisi,neesee
349,nisej,neesaye
350,nisow,neesow
351,niʃej,neeshaye
352,nibi,neebee
353,nibej,neebaye
354,nibow,neebow
355,nidej,needaye
356,niɡi,neeggee
357,niɡej,neegaye
358,niɡow,neegow
359,nipej,neepaye
360,nipow,neepow
361,nitej,neetaye
362,nikej,neekaye
363,nejli,naylee
364,nejlej,naylaye
365,nejlow,naylow
366,nejmi,naymee
367,nejmej,naymaye
368,nejmow,naymow
369,nejni,naynee
370,nejnej,naynaye
371,nejnow,naynow
372,nejvi,nayvee
373,nejvej,nayvaye
374,nejvow,nayvow
375,nejði,naythey
376,nejðej,nay-they
377,nejðow,nay-though
378,nejzi,nayzee
379,nejzej,nayzaye
380,nejzow,nayzow
381,nejfi,nayfee
382,nejfej,nayfaye
383,nejfow,nayfow
384,nejsi,naysee
385,nejsej,naysaye
386,nejsow,naysow
387,nejʃi,nayshee
388,nejʃej,nayshaye
389,nejʃow,nayshow
390,nejbi,naybee
391,nejbej,naybaye
392,nejbow,naybow
393,nejdi,naydee
394,nejdej,naydaye
395,nejdow,naydow
396,nejɡi,nayggee
397,nejɡej,naygaye
398,nejɡow,naygow
399,nejpi,naypee
400,nejpej,naypaye
401,nejpow,naypow
402,nejti,naytee
403,nejtej,naytaye
404,nejtow,naytow
405,nejki,naykee
406,nejkej,naykaye
407,nejkow,nayko
408,nɑli,nahlee
409,nɑlej,nahlaye
410,nɑlow,nahlow
411,nɑmi,nahmee
412,nɑmej,nahmaye
413,nɑmow,nahmow
414,nɑnej,nahnaye
415,nɑvi,nahvee
416,nɑvej,nahvaye
417,nɑvow,nahvow
418,nɑði,nahthey
419,nɑðej,nah-they
420,nɑðow,nah-though
421,nɑzi,nahzee
422,nɑzej,nahzaye
423,nɑzow,nahzow
424,nɑfi,nahfee
425,nɑfej,nahfaye
426,nɑfow,nahfow
427,nɑsi,nahsee
428,nɑsej,nahsaye
429,nɑʃi,nahshee
430,nɑʃej,nahshaye
431,nɑʃow,nahshow
432,nɑbej,nahbaye
433,nɑbow,nahbow
434,nɑdi,nahdee
435,nɑdej,nahdaye
436,nɑdow,nahdow
437,nɑɡej,nahgaye
438,nɑɡow,nahgow
439,nɑpi,nahpee
440,nɑpej,nahpaye
441,nɑpow,nahpow
442,nɑtej,nahtaye
443,nɑtow,nahtow
444,nɑki,nahkee
445,nɑkej,nahkaye
446,nɑkow,nahko
447,nowli,noelee
448,nowlej,noelaye
449,nowlow,noelow
450,nowmej,noemaye
451,nowni,noanee
452,nownej,noanaye
453,nownow,noanow
454,nowvej,noevaye
455,nowði,noethey
456,nowðej,noe-they
457,nowðow,noe-though
458,nowzej,noezaye
459,nowzow,noezow
460,nowfi,noefee
461,nowfej,noefaye
462,nowfow,noefow
463,nowsi,noesee
464,nowsej,noesaye
465,nowsow,noesow
466,nowʃi,noeshee
467,nowʃej,noeshaye
468,nowbi,noebee
469,nowbej,noebaye
470,nowbow,noebow
471,nowdi,noedee
472,nowdej,noedaye
473,nowdow,noedow
474,nowɡi,noeggee
475,nowɡej,noegaye
476,nowpi,noepee
477,nowpej,noepaye
478,nowpow,noepow
479,nowti,noetee
480,nowtej,noetaye
481,nowkej,noekaye
482,nowkow,noeko
483,vili,veelee
484,vilej,veelaye
485,vilow,veelow
486,vimi,veemee
487,vimej,veemaye
488,vimow,veemow
489,vinej,veenaye
490,vinow,veenow
491,vivej,veevaye
492,viði,veethey
493,viðej,vee-they
494,viðow,vee-though
495,vizej,veezaye
496,vizow,veezow
497,vifi,veefee
498,vifej,veefaye
499,vifow,veefow
500,visi,veesee
501,visej,veesaye
502,visow,veesow
503,viʃej,veeshaye
504,viʃow,veeshow
505,vibi,veebee
506,vibej,veebaye
507,vibow,veebow
508,vidi,veedee
509,videj,veedaye
510,vidow,veedow
511,viɡi,veeggee
512,viɡej,veegaye
513,vipej,veepaye
514,vipow,veepow
515,vitej,veetaye
516,vikej,veekaye
517,vejli,vaylee
518,vejlej,vaylaye
519,vejlow,vaylow
520,vejmi,vaymee
521,vejmej,vaymaye
522,vejmow,vaymow
523,vejni,vaynee
524,vejnej,vaynaye
525,vejnow,vaynow
526,vejvi,vayvee
527,vejvej,vayvaye
528,vejvow,vayvow
529,vejði,vaythey
530,vejðej,vay-they
531,vejðow,vay-though
532,vejzi,vayzee
533,vejzej,vayzaye
534,vejzow,vayzow
535,vejfi,vayfee
536,vejfej,vayfaye
537,vejfow,vayfow
538,vejsi,vaysee
539,vejsej,vaysaye
540,vejsow,vaysow
541,vejʃi,vayshee
542,vejʃej,vayshaye
543,vejʃow,vayshow
544,vejbi,vaybee
545,vejbej,vaybaye
546,vejbow,vaybow
547,vejdi,vaydee
548,vejdej,vaydaye
549,vejdow,vaydow
550,vejɡi,vayggee
551,vejɡej,vaygaye
552,vejɡow,vaygow
553,vejpi,vaypee
554,vejpej,vaypaye
555,vejpow,vaypow
556,vejti,vaytee
557,vejtej,vaytaye
558,vejtow,vaytow
559,vejki,vaykee
560,vejkej,vaykaye
561,vejkow,vayko
562,vɑli,vahlee
563,vɑlej,vahlaye
564,vɑlow,vahlow
565,vɑmi,vahmee
566,vɑmej,vahmaye
567,vɑmow,vahmow
568,vɑnej,vahnaye
569,vɑvi,vahvee
570,vɑvej,vahvaye
571,vɑvow,vahvow
572,vɑði,vahthey
573,vɑðej,vah-they
574,vɑðow,vah-though
575,vɑzi,vahzee
576,vɑzej,vahzaye
577,vɑzow,vahzow
578,vɑfi,vahfee
579,vɑfej,vahfaye
580,vɑfow,vahfow
581,vɑsi,vahsee
582,vɑsej,vahsaye
583,vɑsow,vahsow
584,vɑʃi,vahshee
585,vɑʃej,vahshaye
586,vɑʃow,vahshow
587,vɑbi,vahbee
588,vɑbej,vahbaye
589,vɑbow,vahbow
590,vɑdi,vahdee
591,vɑdej,vahdaye
592,vɑdow,vahdow
593,vɑɡi,vahggee
594,vɑɡej,vahgaye
595,vɑɡow,vahgow
596,vɑpi,vahpee
597,vɑpej,vahpaye
598,vɑpow,vahpow
599,vɑti,vahtee
600,vɑtej,vahtaye
601,vɑtow,vahtow
602,vɑki,vahkee
603,vɑkej,vahkaye
604,vɑkow,vahko
605,vowli,voelee
606,vowlej,voelaye
607,vowlow,voelow
608,vowmi,voemee
609,vowmej,voemaye
610,vowmow,voemow
611,vowni,voanee
612,vownej,voanaye
613,vownow,voanow
614,vowvi,voevee
615,vowvej,voevaye
616,vowvow,voevow
617,vowði,voethey
618,vowðej,voe-they
619,vowðow,voe-though
620,vowzi,voezee
621,vowzej,voezaye
622,vowzow,voezow
623,vowfi,voefee
624,vowfej,voefaye
625,vowfow,voefow
626,vowsi,voesee
627,vowsej,voesaye
628,vowsow,voesow
629,vowʃi,voeshee
630,vowʃej,voeshaye
631,vowʃow,voeshow
632,vowbi,voebee
633,vowbej,voebaye
634,vowbow,voebow
635,vowdi,voedee
636,vowdej,voedaye
637,vowdow,voedow
638,vowɡi,voeggee
639,vowɡej,voegaye
640,vowɡow,voegow
641,vowpi,voepee
642,vowpej,voepaye
643,vowpow,voepow
644,vowti,voetee
645,vowtej,voetaye
646,vowtow,voetow
647,vowki,voekee
648,vowkej,voekaye
649,vowkow,voeko
650,zili,zeelee
651,zilej,zeelaye
652,zilow,zeelow
653,zimi,zeemee
654,zimej,zeemaye
655,zimow,zeemow
656,zinej,zeenaye
657,zivi,zeevee
658,zivej,zeevaye
659,zivow,zeevow
660,ziði,zeethey
661,ziðej,zee-they
662,ziðow,zee-though
663,zizi,zeezee
664,zizej,zeezaye
665,zifi,zeefee
666,zifej,zeefaye
667,zifow,zeefow
668,zisi,zeesee
669,zisej,zeesaye
670,zisow,zeesow
671,ziʃi,zeeshee
672,ziʃej,zeeshaye
673,ziʃow,zeeshow
674,zibi,zeebee
675,zibej,zeebaye
676,zibow,zeebow
677,zidi,zeedee
678,zidej,zeedaye
679,zidow,zeedow
680,ziɡi,zeeggee
681,ziɡej,zeegaye
682,ziɡow,zeegow
683,zipej,zeepaye
684,ziti,zeetee
685,zitej,zeetaye
686,ziki,zeekee
687,zikej,zeekaye
688,zejli,zaylee
689,zejlej,zaylaye
690,zejlow,zaylow
691,zejmi,zaymee
692,zejmej,zaymaye
693,zejmow,zaymow
694,zejni,zaynee
695,zejnej,zaynaye
696,zejnow,zaynow
697,zejvi,zayvee
698,zejvej,zayvaye
699,zejvow,zayvow
700,zejði,zaythey
701,zejðej,zay-they
702,zejðow,zay-though
703,zejzi,zayzee
704,zejzej,zayzaye
705,zejzow,zayzow
706,zejfi,zayfee
707,zejfej,zayfaye
708,zejfow,zayfow
709,zejsi,zaysee
710,zejsej,zaysaye
711,zejsow,zaysow
712,zejʃi,zayshee
713,zejʃej,zayshaye
714,zejʃow,zayshow
715,zejbi,zaybee
716,zejbej,zaybaye
717,zejbow,zaybow
718,zejdi,zaydee
719,zejdej,zaydaye
720,zejdow,zaydow
721,zejɡi,zayggee
722,zejɡej,zaygaye
723,zejɡow,zaygow
724,zejpi,zaypee
725,zejpej,zaypaye
726,zejpow,zaypow
727,zejti,zaytee
728,zejtej,zaytaye
729,zejtow,zaytow
730,zejki,zaykee
731,zejkej,zaykaye
732,zejkow,zayko
733,zɑli,zahlee
734,zɑlej,zahlaye
735,zɑlow,zahlow
736,zɑmi,zahmee
737,zɑmej,zahmaye
738,zɑmow,zahmow
739,zɑnej,zahnaye
740,zɑvi,zahvee
741,zɑvej,zahvaye
742,zɑvow,zahvow
743,zɑði,zahthey
744,zɑðej,zah-they
745,zɑðow,zah-though
746,zɑzi,zahzee
747,zɑzej,zahzaye
748,zɑzow,zahzow
749,zɑfi,zahfee
750,zɑfej,zahfaye
751,zɑfow,zahfow
752,zɑsi,zahsee
753,zɑsej,zahsaye
754,zɑsow,zahsow
755,zɑʃi,zahshee
756,zɑʃej,zahshaye
757,zɑʃow,zahshow
758,zɑbi,zahbee
759,zɑbej,zahbaye
760,zɑbow,zahbow
761,zɑdi,zahdee
762,zɑdej,zahdaye
763,zɑdow,zahdow
764,zɑɡi,zahggee
765,zɑɡej,zahgaye
766,zɑɡow,zahgow
767,zɑpi,zahpee
768,zɑpej,zahpaye
769,zɑpow,zahpow
770,zɑti,zahtee
771,zɑtej,zahtaye
772,zɑtow,zahtow
773,zɑkej,zahkaye
774,zowli,zoelee
775,zowlej,zoelaye
776,zowlow,zoelow
777,zowmi,zoemee
778,zowmej,zoemaye
779,zowmow,zoemow
780,zowni,zoanee
781,zownej,zoanaye
782,zownow,zoanow
783,zowvi,zoevee
784,zowvej,zoevaye
785,zowvow,zoevow
786,zowði,zoethey
787,zowðej,zoe-they
788,zowðow,zoe-though
789,zowzi,zoezee
790,zowzej,zoezaye
791,zowzow,zoezow
792,zowfi,zoefee
793,zowfej,zoefaye
794,zowfow,zoefow
795,zowsi,zoesee
796,zowsej,zoesaye
797,zowsow,zoesow
798,zowʃi,zoeshee
799,zowʃej,zoeshaye
800,zowʃow,zoeshow
801,zowbej,zoebaye
802,zowbow,zoebow
803,zowdej,zoedaye
804,zowdow,zoedow
805,zowɡi,zoeggee
806,zowɡej,zoegaye
807,zowɡow,zoegow
808,zowpi,zoepee
809,zowpej,zoepaye
810,zowpow,zoepow
811,zowtej,zoetaye
812,zowtow,zoetow
813,zowki,zoekee
814,zowkej,zoekaye
815,zowkow,zoeko
816,fili,feelee
817,filej,feelaye
818,filow,feelow
819,fimi,feemee
820,fimej,feemaye
821,fimow,feemow
822,finej,feenaye
823,fivi,feevee
824,fivej,feevaye
825,fivow,feevow
826,fiði,feethey
827,fiðej,fee-they
828,fiðow,fee-though
829,fizi,feezee
830,fizej,feezaye
831,fizow,feezow
832,fifej,feefaye
833,fifow,feefow
834,fisi,feesee
835,fisej,feesaye
836,fisow,feesow
837,fiʃej,feeshaye
838,fiʃow,feeshow
839,fibej,feebaye
840,fibow,feebow
841,fidi,feedee
842,fidej,feedaye
843,fidow,feedow
844,fiɡej,feegaye
845,fiɡow,feegow
846,fipi,feepee
847,fipej,feepaye
848,fipow,feepow
849,fiti,feetee
850,fitej,feetaye
851,fitow,feetow
852,fiki,feekee
853,fikej,feekaye
854,fejli,faylee
855,fejlej,faylaye
856,fejlow,faylow
857,fejmi,faymee
858,fejmej,faymaye
859,fejmow,faymow
860,fejni,faynee
861,fejnej,faynaye
862,fejnow,faynow
863,fejvi,fayvee
864,fejvej,fayvaye
865,fejvow,fayvow
866,fejði,faythey
867,fejðej,fay-they
868,fejðow,fay-though
869,fejzi,fayzee
870,fejzej,fayzaye
871,fejzow,fayzow
872,fejfi,fayfee
873,fejfej,fayfaye
874,fejfow,fayfow
875,fejsi,faysee
876,fejsej,faysaye
877,fejsow,faysow
878,fejʃi,fayshee
879,fejʃej,fayshaye
880,fejʃow,fayshow
881,fejbi,faybee
882,fejbej,faybaye
883,fejbow,faybow
884,fejdi,faydee
885,fejdej,faydaye
886,fejdow,faydow
887,fejɡi,fayggee
888,fejɡej,faygaye
889,fejɡow,faygow
890,fejpi,faypee
891,fejpej,faypaye
892,fejpow,faypow
893,fejti,faytee
894,fejtej,faytaye
895,fejtow,faytow
896,fejki,faykee
897,fejkej,faykaye
898,fejkow,fayko
899,fɑli,fahlee
900,fɑlej,fahlaye
901,fɑlow,fahlow
902,fɑmej,fahmaye
903,fɑmow,fahmow
904,fɑni,fahnee
905,fɑnej,fahnaye
906,fɑnow,fahnow
907,fɑvi,fahvee
908,fɑvej,fahvaye
909,fɑvow,fahvow
910,fɑði,fahthey
911,fɑðej,fah-they
912,fɑðow,fah-though
913,fɑzi,fahzee
914,fɑzej,fahzaye
915,fɑzow,fahzow
916,fɑfi,fahfee
917,fɑfej,fahfaye
918,fɑfow,fahfow
919,fɑsej,fahsaye
920,fɑʃej,fahshaye
921,fɑʃow,fahshow
922,fɑbi,fahbee
923,fɑbej,fahbaye
924,fɑbow,fahbow
925,fɑdi,fahdee
926,fɑdej,fahdaye
927,fɑdow,fahdow
928,fɑɡej,fahgaye
929,fɑɡow,fahgow
930,fɑpi,fahpee
931,fɑpej,fahpaye
932,fɑpow,fahpow
933,fɑti,fahtee
934,fɑtej,fahtaye
935,fɑtow,fahtow
936,fɑki,fahkee
937,fɑkej,fahkaye
938,fɑkow,fahko
939,fowli,foelee
940,fowlej,foelaye
941,fowlow,foelow
942,fowmej,foemaye
943,fowmow,foemow
944,fownej,foanaye
945,fownow,foanow
946,fowvi,foevee
947,fowvej,foevaye
948,fowvow,foevow
949,fowði,foethey
950,fowðej,foe-they
951,fowðow,foe-though
952,fowzi,foezee
953,fowzej,foezaye
954,fowzow,foezow
955,fowfi,foefee
956,fowfej,foefaye
957,fowfow,foefow
958,fowsi,foesee
959,fowsej,foesaye
960,fowsow,foesow
961,fowʃi,foeshee
962,fowʃej,foeshaye
963,fowbi,foebee
964,fowbej,foebaye
965,fowbow,foebow
966,fowdi,foedee
967,fowdej,foedaye
968,fowdow,foedow
969,fowɡej,foegaye
970,fowɡow,foegow
971,fowpi,foepee
972,fowpej,foepaye
973,fowpow,foepow
974,fowtej,foetaye
975,fowki,foekee
976,fowkej,foekaye
977,fowkow,foeko
978,sili,seelee
979,silej,seelaye
980,silow,seelow
981,simej,seemaye
982,sini,seenee
983,sinej,seenaye
984,sinow,seenow
985,sivej,seevaye
986,sivow,seevow
987,siði,seethey
988,siðej,see-they
989,siðow,see-though
990,sizi,seezee
991,sizej,seezaye
992,sizow,seezow
993,sifi,seefee
994,sifej,seefaye
995,sifow,seefow
996,sisej,seesaye
997,sisow,seesow
998,siʃi,seeshee
999,siʃej,seeshaye
1000,siʃow,seeshow
1001,sibej,seebaye
1002,sibow,seebow
1003,sidej,seedaye
1004,siɡi,seeggee
1005,siɡej,seegaye
1006,sipi,seepee
1007,sipej,seepaye
1008,sipow,seepow
1009,sitej,seetaye
1010,siki,seekee
1011,sikej,seekaye
1012,sejli,saylee
1013,sejlej,saylaye
1014,sejlow,saylow
1015,sejmi,saymee
1016,sejmej,saymaye
1017,sejmow,saymow
1018,sejni,saynee
1019,sejnej,saynaye
1020,sejnow,saynow
1021,sejvi,sayvee
1022,sejvej,sayvaye
1023,sejvow,sayvow
1024,sejði,saythey
1025,sejðej,say-they
1026,sejðow,say-though
1027,sejzi,sayzee
1028,sejzej,sayzaye
1029,sejzow,sayzow
1030,sejfi,sayfee
1031,sejfej,sayfaye
1032,sejfow,sayfow
1033,sejsi,saysee
1034,sejsej,saysaye
1035,sejsow,saysow
1036,sejʃi,sayshee
1037,sejʃej,sayshaye
1038,sejʃow,sayshow
1039,sejbi,saybee
1040,sejbej,saybaye
1041,sejbow,saybow
1042,sejdi,saydee
1043,sejdej,saydaye
1044,sejdow,saydow
1045,sejɡi,sayggee
1046,sejɡej,saygaye
1047,sejɡow,saygow
1048,sejpi,saypee
1049,sejpej,saypaye
1050,sejpow,saypow
1051,sejti,saytee
1052,sejtej,saytaye
1053,sejtow,saytow
1054,sejki,saykee
1055,sejkej,saykaye
1056,sejkow,sayko
1057,sɑli,sahlee
1058,sɑlej,sahlaye
1059,sɑlow,sahlow
1060,sɑmi,sahmee
1061,sɑmej,sahmaye
1062,sɑmow,sahmow
1063,sɑni,sahnee
1064,sɑnej,sahnaye
1065,sɑvi,sahvee
1066,sɑvej,sahvaye
1067,sɑði,sahthey
1068,sɑðej,sah-they
1069,sɑðow,sah-though
1070,sɑzi,sahzee
1071,sɑzej,sahzaye
1072,sɑzow,sahzow
1073,sɑfej,sahfaye
1074,sɑfow,sahfow
1075,sɑsi,sahsee
1076,sɑsej,sahsaye
1077,sɑsow,sahsow
1078,sɑʃi,sahshee
1079,sɑʃej,sahshaye
1080,sɑʃow,sahshow
1081,sɑbi,sahbee
1082,sɑbej,sahbaye
1083,sɑdi,sahdee
1084,sɑdej,sahdaye
1085,sɑdow,sahdow
1086,sɑɡej,sahgaye
1087,sɑɡow,sahgow
1088,sɑpi,sahpee
1089,sɑpej,sahpaye
1090,sɑpow,sahpow
1091,sɑti,sahtee
1092,sɑtej,sahtaye
1093,sɑkej,sahkaye
1094,sowli,soelee
1095,sowlej,soelaye
1096,sowlow,soelow
1097,sowmi,soemee
1098,sowmej,soemaye
1099,sowmow,soemow
1100,sownej,soanaye
1101,sownow,soanow
1102,sowvej,soevaye
1103,sowvow,soevow
1104,sowði,soethey
1105,sowðej,soe-they
1106,sowðow,soe-though
1107,sowzi,soezee
1108,sowzej,soezaye
1109,sowzow,soezow
1110,sowfej,soefaye
1111,sowfow,soefow
1112,sowsej,soesaye
1113,sowʃej,soeshaye
1114,sowʃow,soeshow
1115,sowbej,soebaye
1116,sowbow,soebow
1117,sowdej,soedaye
1118,sowdow,soedow
1119,sowɡi,soeggee
1120,sowɡej,soegaye
1121,sowpej,soepaye
1122,sowpow,soepow
1123,sowtej,soetaye
1124,sowkej,soekaye
1125,ʃili,sheelee
1126,ʃilej,sheelaye
1127,ʃilow,sheelow
1128,ʃimej,sheemaye
1129,ʃimow,sheemow
1130,ʃini,sheenee
1131,ʃinej,sheenaye
1132,ʃivi,sheevee
1133,ʃivej,sheevaye
1134,ʃivow,sheevow
1135,ʃiði,sheethey
1136,ʃiðej,shee-they
1137,ʃiðow,shee-though
1138,ʃizi,sheezee
1139,ʃizej,sheezaye
1140,ʃizow,sheezow
1141,ʃifi,sheefee
1142,ʃifej,sheefaye
1143,ʃifow,sheefow
1144,ʃisi,sheesee
1145,ʃisej,sheesaye
1146,ʃisow,sheesow
1147,ʃiʃi,sheeshee
1148,ʃiʃej,sheeshaye
1149,ʃiʃow,sheeshow
1150,ʃibi,sheebee
1151,ʃibej,sheebaye
1152,ʃibow,sheebow
1153,ʃidej,sheedaye
1154,ʃidow,sheedow
1155,ʃiɡi,sheeggee
1156,ʃiɡej,sheegaye
