index,ipa,alphabet,score_abrupt-continuous,score_beautiful-ugly,score_big-small,score_dangerous-safe,score_delicate-rugged,score_exciting-calming,score_fast-slow,score_good-bad,score_happy-sad,score_hard-soft,score_harsh-mellow,score_heavy-light,score_inhibited-free,score_interesting-uninteresting,score_masculine-feminine,score_ordinary-unique,score_passive-active,score_pleasant-unpleasant,score_realistic-fantastical,score_sharp-round,score_simple-complex,score_solid-nonsolid,score_strong-weak,score_tense-relaxed
10,livej,leevaye,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
11,livow,leevow,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
12,liði,leethey,0.2125,-0.09575,0.49215,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.34185,0.1304,0.0,0.414965,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
13,liðej,lee-they,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
14,liðow,lee-though,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
15,lizi,leezee,0.2125,-0.09575,0.49215,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.34185,0.1304,0.0,0.414965,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
16,lizej,leezaye,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
17,lizow,leezow,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
18,lifi,leefee,0.2125,-0.1782,0.5707,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.31775,0.22455,0.44210000000000005,0.1304,0.0,0.585465,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
19,lifej,leefaye,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
20,lifow,leefow,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
21,lisi,leesee,0.2125,-0.1782,0.5707,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.31775,0.22455,0.44210000000000005,0.1304,0.0,0.585465,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
22,lisej,leesaye,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
23,lisow,leesow,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
24,liʃi,leeshee,0.2125,-0.1782,0.5707,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.31775,0.22455,0.44210000000000005,0.1304,0.0,0.585465,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
25,liʃej,leeshaye,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
26,liʃow,leeshow,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.37518599999999996,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
27,libi,leebee,0.2125,0.0024249999999999966,0.39719999999999994,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.24785000000000001,0.1304,0.06745,0.30421499999999996,-0.0865,-0.010124999999999995,0.0,-0.1372,0.10801999999999998,-0.187795,0.18525,0.158975,0.165775
28,libej,leebaye,0.16999999999999998,0.0019399999999999973,0.17271999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.18917599999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
29,libow,leebow,0.16999999999999998,0.0019399999999999973,0.17271999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.18917599999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
30,lidi,leedee,0.2125,0.0024249999999999966,0.39719999999999994,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.24785000000000001,0.1304,0.06745,0.30421499999999996,-0.0865,-0.010124999999999995,0.0,-0.1372,0.10801999999999998,-0.187795,0.18525,0.158975,0.165775
31,lidej,leedaye,0.16999999999999998,0.0019399999999999973,0.17271999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.18917599999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
32,lidow,leedow,0.16999999999999998,0.0019399999999999973,0.17271999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.18917599999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
33,liɡi,leeggee,0.2125,-0.09575,0.49215,0.13895,-0.22625,0.043649999999999994,-0.07092499999999999,0.0,-0.20615,0.22225,0.22455,0.34185,0.1304,0.0,0.414965,-0.0865,-0.010124999999999995,0.0,-0.1372,-0.006477500000000025,-0.187795,0.18525,0.158975,0.165775
34,liɡej,leegaye,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
35,liɡow,leegow,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
36,lipi,leepee,0.08975,-0.09575,0.49215,0.04507499999999999,-0.10625000000000001,-0.06025000000000001,-0.1687,0.0,-0.20615,0.07500000000000001,0.10335,0.34185,0.027774999999999994,0.0,0.245965,-0.0865,-0.010124999999999995,0.0,-0.22378499999999998,-0.16900750000000003,-0.187795,0.0825,0.10162500000000001,0.04137500000000001
37,lipej,leepaye,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
38,lipow,leepow,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
39,liti,leetee,0.08975,-0.09575,0.49215,0.04507499999999999,-0.10625000000000001,-0.06025000000000001,-0.1687,0.0,-0.20615,0.07500000000000001,0.10335,0.34185,0.027774999999999994,0.0,0.245965,-0.0865,-0.010124999999999995,0.0,-0.22378499999999998,-0.16900750000000003,-0.187795,0.0825,0.10162500000000001,0.04137500000000001
40,litej,leetaye,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
41,litow,leetow,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
42,liki,leekee,0.08975,-0.09575,0.49215,0.04507499999999999,-0.10625000000000001,-0.06025000000000001,-0.1687,0.0,-0.20615,0.07500000000000001,0.10335,0.34185,0.027774999999999994,0.0,0.245965,-0.0865,-0.010124999999999995,0.0,-0.22378499999999998,-0.16900750000000003,-0.187795,0.0825,0.10162500000000001,0.04137500000000001
43,likej,leekaye,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
44,likow,leeko,0.0718,-0.0766,0.24867999999999996,0.036059999999999995,-0.085,0.021139999999999992,-0.03366,0.0,-0.08246,0.06000000000000001,0.08268,0.19994,0.022219999999999997,0.0,0.10358599999999998,-0.0692,-0.06906,0.0,-0.124148,-0.032446000000000016,-0.15023599999999998,0.066,0.08130000000000001,0.033100000000000004
45,lejli,laylee,0.33999999999999997,-0.1532,0.35232,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
46,lejlej,laylaye,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
47,lejlow,laylow,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
48,lejmi,laymee,0.33999999999999997,-0.1532,0.35232,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
49,lejmej,laymaye,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
50,lejmow,laymow,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
51,lejni,laynee,0.33999999999999997,-0.1532,0.35232,0.22232,-0.362,0.27786,0.19041999999999998,0.0,-0.08246,0.3556,0.35928,0.32633999999999996,0.20864,0.0,0.384386,-0.1384,-0.19908,0.0,-0.05488,0.29791599999999996,-0.30047199999999996,0.2964,0.25436000000000003,0.26524000000000003
52,lejnej,laynaye,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
53,lejnow,laynow,0.2833333333333333,-0.12766666666666668,0.17273333333333332,0.18526666666666666,-0.3016666666666667,0.28933333333333333,0.24309999999999998,0.0,0.0,0.29633333333333334,0.2994,0.21066666666666667,0.17386666666666664,0.0,0.24266666666666667,-0.11533333333333333,-0.2167,0.0,0.0,0.3338966666666667,-0.2503933333333333,0.247,0.21196666666666666,0.22103333333333333
54,lejvi,layvee,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
55,lejvej,layvaye,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
56,lejvow,layvow,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
57,lejði,laythey,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
58,lejðej,lay-they,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
59,lejðow,lay-though,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
60,lejzi,layzee,0.16999999999999998,-0.0766,0.24867999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.19994,0.10432,0.0,0.238786,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
61,lejzej,layzaye,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
62,lejzow,layzow,0.14166666666666666,-0.06383333333333334,0.08636666666666666,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.10533333333333333,0.08693333333333332,0.0,0.12133333333333333,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
63,lejfi,layfee,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.375186,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
64,lejfej,layfaye,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
65,lejfow,layfow,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
66,lejsi,laysee,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.375186,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
67,lejsej,laysaye,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
68,lejsow,laysow,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
69,lejʃi,layshee,0.16999999999999998,-0.14256,0.31151999999999996,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.2542,0.17964,0.28014,0.10432,0.0,0.375186,-0.0692,-0.06906,0.0,-0.05488,0.09757799999999998,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
70,lejʃej,layshaye,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
71,lejʃow,layshow,0.14166666666666666,-0.1188,0.13873333333333335,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.21183333333333332,0.1497,0.17216666666666666,0.08693333333333332,0.0,0.23500000000000001,-0.057666666666666665,-0.10835,0.0,0.0,0.16694833333333334,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
72,lejbi,laybee,0.16999999999999998,0.0019399999999999973,0.17271999999999998,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.189176,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
73,lejbej,laybaye,0.14166666666666666,0.0016166666666666645,0.023066666666666662,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.042666666666666665,0.08693333333333332,0.04496666666666666,0.047499999999999994,-0.057666666666666665,-0.10835,0.0,0.0,0.24328000000000002,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
74,lejbow,laybow,0.14166666666666666,0.0016166666666666645,0.023066666666666662,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.042666666666666665,0.08693333333333332,0.04496666666666666,0.047499999999999994,-0.057666666666666665,-0.10835,0.0,0.0,0.24328000000000002,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
75,lejdi,laydee,0.16999999999999998,0.0019399999999999973,0.17271999999999998,0.11116,-0.181,0.10425999999999999,0.04456,0.0,-0.08246,0.1778,0.17964,0.12474,0.10432,0.053959999999999994,0.150186,-0.0692,-0.06906,0.0,-0.05488,0.189176,-0.15023599999999998,0.1482,0.12718000000000002,0.13262000000000002
76,lejdej,laydaye,0.14166666666666666,0.0016166666666666645,0.023066666666666662,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.042666666666666665,0.08693333333333332,0.04496666666666666,0.047499999999999994,-0.057666666666666665,-0.10835,0.0,0.0,0.24328000000000002,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
77,lejdow,laydow,0.14166666666666666,0.0016166666666666645,0.023066666666666662,0.09263333333333333,-0.15083333333333335,0.14466666666666667,0.12154999999999999,0.0,0.0,0.14816666666666667,0.1497,0.042666666666666665,0.08693333333333332,0.04496666666666666,0.047499999999999994,-0.057666666666666665,-0.10835,0.0,0.0,0.24328000000000002,-0.12519666666666665,0.1235,0.10598333333333333,0.11051666666666667
