Entry,Definition,ref
burr,"A rough sounding of the letter r, a vibratory or rushing noise.",Oxford English Dictionary
buzz,To make the humming sibilant sound characteristic of bees and other insects.,Oxford English Dictionary
buzzle,"To distend, fill out.",Rhyme Over Reason : Phonological Motivation in English
byss,To sing or hum (children) to sleep.,Rhyme Over Reason : Phonological Motivation in English
calloo,,
cangle,"To dispute acrimoniously, to wrangle.",Rhyme Over Reason : Phonological Motivation in English
cank,"To cackle as geese; to talk rapidly, to chatter.",Rhyme Over Reason : Phonological Motivation in English
caw,"Of a crow, rook, raven, or other bird: to make its characteristic harsh sound.",Rhyme Over Reason : Phonological Motivation in English
caw,"Representing the characteristic harsh call of a crow, rook, raven, or other bird, or a sound resembling this.",Rhyme Over Reason : Phonological Motivation in English
cawk,"The cry of some birds, rooks, divers, etc.",Rhyme Over Reason : Phonological Motivation in English
chaak,,
chack,"To make a noise like that of snapping teeth, to clack, clatter.",Rhyme Over Reason : Phonological Motivation in English
chack-chack,The cry of the fieldfare and wheatear.,Rhyme Over Reason : Phonological Motivation in English
chang,A ringing or resonant sound; a representation of this.,Rhyme Over Reason : Phonological Motivation in English
channer,"To grumble, complain; to chide, scold, nag.",Rhyme Over Reason : Phonological Motivation in English
charr,,
chatter,"Of a bird: to utter a series of short, quick, usually high-pitched sounds. Also to utter a note or song; to twitter.",Oxford English Dictionary
cheep,"Of a small animal, esp. a young bird or a mouse: to make a thin, high-pitched cry.",Rhyme Over Reason : Phonological Motivation in English
cheet,"To chirp, squeak.",Rhyme Over Reason : Phonological Motivation in English
cheet,Representing the high-pitched call of certain birds.,Oxford English Dictionary
che-ho,To sneeze.,Rhyme Over Reason : Phonological Motivation in English
chewink,,
chick,"Of a bird (esp. a chicken) or another animal: to make a short, distinct sound; to chirp.",Oxford English Dictionary
chick,"A regular short, distinct sound made by a clock or watch.",Oxford English Dictionary
chicker,To chirp as a cricket.,Rhyme Over Reason : Phonological Motivation in English
chink,"An imitation of the short, sharp sound produced by pieces of metal or glass striking one another.",Rhyme Over Reason : Phonological Motivation in English
chinkerinchee,,
chirl,"To warble, to utter a long note with modulation; sometimes, to emit a low melancholy sound.",Rhyme Over Reason : Phonological Motivation in English
chit,To chirp.,Rhyme Over Reason : Phonological Motivation in English
chit-chit-chat,,
chock,"A short hollow sound, such as that produced by hammering or chopping, by a heavy object striking a hard surface, etc.",Rhyme Over Reason : Phonological Motivation in English
chock,"Representing a short hollow sound, such as that produced by hammering or chopping, by a heavy object striking a hard surface, etc.",Rhyme Over Reason : Phonological Motivation in English
choo-choo,"An imitation of the sound of a steam-engine, used as a nursery name for a railway train or locomotive.",Rhyme Over Reason : Phonological Motivation in English
chowchilla,,
chuck,"A short, distinct sound made by an animal, esp. a bird, a clucking sound made by a chicken",Oxford English Dictionary
chuck,"A species of cluck: e.g. that made by a cock, or a hen calling chickens, or by people in calling fowls; also that made to incite a horse.",Rhyme Over Reason : Phonological Motivation in English
chuckle,To laugh vehemently; to laugh convulsively.,Rhyme Over Reason : Phonological Motivation in English
chuck-will’s-widow,,
chud,To champ; to bite.,Oxford English Dictionary
chuff,Of an engine or machine: to work with a regularly repeated sharp puffing sound.,Rhyme Over Reason : Phonological Motivation in English
chug,"A plunging, muffled, or explosive sound, esp. the characteristic sound of an internal combustion engine when running slowly.",Rhyme Over Reason : Phonological Motivation in English
chug,To make an intermittent explosive sound as of the escape of exhaust gases from an engine cylinder.,Rhyme Over Reason : Phonological Motivation in English
chug-a-lug,"Representing a glugging, chugging, or gobbling sound, esp. that of a person consuming a drink in large gulps.",Rhyme Over Reason : Phonological Motivation in English
chunk,To proceed with a plunging or explosive sound.,Rhyme Over Reason : Phonological Motivation in English
chunter,"To mutter, murmur; to grumble, find fault, complain.",Rhyme Over Reason : Phonological Motivation in English
churr,To make a deep or low trilled or whirring sound.,Rhyme Over Reason : Phonological Motivation in English
chutter,"To make a clattering, spluttering noise.",Rhyme Over Reason : Phonological Motivation in English
chymer,To shiver,Rhyme Over Reason : Phonological Motivation in English
clack-clack,,
clam,The crash caused by ringing two or more bells of a peal together.,Rhyme Over Reason : Phonological Motivation in English
clamp,"A heavy, solid step, tread, or stamp with the feet.",Rhyme Over Reason : Phonological Motivation in English
clash,"The loud sound of collision made by a heavy stroke or blow, the first impact of which is firm and hard, but is followed by a confused sound of many looser and lighter impacts.",Rhyme Over Reason : Phonological Motivation in English
click,"A short sharp sound, as produced by two hard objects being lightly struck against each other, or by operating a switch.",Oxford English Dictionary
clippety-clop,"The sound made by a horse’s hoofs, or a noise resembling this.",Rhyme Over Reason : Phonological Motivation in English
clobber,"To patch up, cobble.",Rhyme Over Reason : Phonological Motivation in English
clondre,"To make a rumbling noise, to drone.",Rhyme Over Reason : Phonological Motivation in English
clonk,"To make an abrupt, heavy sound as when something unresilient strikes a hard surface.",Rhyme Over Reason : Phonological Motivation in English
cloop,"The sound made by drawing a cork from a bottle, or any similar sound.",Rhyme Over Reason : Phonological Motivation in English
clop,A sharp sound such as is made by shoes or hoofs on the ground.,Rhyme Over Reason : Phonological Motivation in English
cluck,"An imitation of the abrupt hollow guttural sound made by a hen desiring to sit, or calling her brood together, or of a similar sound.",Rhyme Over Reason : Phonological Motivation in English
clucker,To call as a hen does her chickens.,Rhyme Over Reason : Phonological Motivation in English
clunk,"A sound such as is made by a cork drawn forcibly from a bottle, by liquid poured out of a narrow-necked vessel, or shaken in a vessel partially empty, etc.",Rhyme Over Reason : Phonological Motivation in English
cocket,,
colp,,
conck,The cry of the wild goose.,Rhyme Over Reason : Phonological Motivation in English
coo,To make the soft murmuring sound or note characteristic of doves and pigeons.,Rhyme Over Reason : Phonological Motivation in English
cooee,The call or cry used as a signal to draw attention to the caller.,Oxford English Dictionary
crank,"To make a harsh, jarring, or grating sound.",Rhyme Over Reason : Phonological Motivation in English
crash,"To break in pieces with violence and noise; to dash in pieces, shiver, shatter.",Rhyme Over Reason : Phonological Motivation in English
craw,Said of rooks or crows.,Rhyme Over Reason : Phonological Motivation in English
crawk,To utter a hoarse sound.,Rhyme Over Reason : Phonological Motivation in English
creak,"To utter a harsh cry: said of crows, rooks, etc.",Rhyme Over Reason : Phonological Motivation in English
crick,"To make a thin, sharp sound.",Rhyme Over Reason : Phonological Motivation in English
crimp,"To make a crisp sound, as in the compression of snow under the feet.",Rhyme Over Reason : Phonological Motivation in English
cronk,The croak of a raven.,Rhyme Over Reason : Phonological Motivation in English
croo,To make the murmuring sound of a dove.,Rhyme Over Reason : Phonological Motivation in English
crood,To make the murmuring sound of a dove.,Rhyme Over Reason : Phonological Motivation in English
croud,To make the murmuring sound of a dove.,Rhyme Over Reason : Phonological Motivation in English
crook,To croak.,Rhyme Over Reason : Phonological Motivation in English
crool,To make an inarticulate sound more liquid and prolonged than a croak.,Rhyme Over Reason : Phonological Motivation in English
croop,"To cry hoarsely; to croak as a raven, frog, crane, etc.",Rhyme Over Reason : Phonological Motivation in English
crout,To make abrupt croaking or murmuring noises.,Rhyme Over Reason : Phonological Motivation in English
crunkle,"To make a harsh dry sound, as by grinding the jaws.",Rhyme Over Reason : Phonological Motivation in English
curkle,To cry as a quail.,Rhyme Over Reason : Phonological Motivation in English
curl,"Of a cat or another feline animal: to make a low, continuous, vibratory sound taken to be expressive of satisfaction or pleasure.",Rhyme Over Reason : Phonological Motivation in English
curling,Rumbling in the bowels.,Rhyme Over Reason : Phonological Motivation in English
curmur,To make a low murmuring or purring sound.,Rhyme Over Reason : Phonological Motivation in English
curr,,
curr,"To make a low murmuring sound, like the cooing of a dove or purring of a cat.",Rhyme Over Reason : Phonological Motivation in English
dadder,"To shake, tremble; to totter.",Rhyme Over Reason : Phonological Motivation in English
dah,"In Morse telegraphy, etc.: = dash.",Rhyme Over Reason : Phonological Motivation in English
daud,A heavy blow or thump; a thud.,Rhyme Over Reason : Phonological Motivation in English
daud,"To strike with a heavy blow or thump; to knock, beat; to shake by knocking or beating.",Rhyme Over Reason : Phonological Motivation in English
der,"Implying that another person has said something foolish or extremely obvious, or done something stupid.",Rhyme Over Reason : Phonological Motivation in English
dickcissel,,
diddle,To sing without distinct utterance of words.,Rhyme Over Reason : Phonological Motivation in English
didgeridoo,,
diederik,,
diedrik,,
ding,To sound as metal when heavily struck; to make a heavy ringing sound.,Rhyme Over Reason : Phonological Motivation in English
ding-a-ling,"An imitation of the ringing sound of a heavy bell, or of metal when struck.",Rhyme Over Reason : Phonological Motivation in English
ding-dong,"To ring as a bell, or like a bell.",Rhyme Over Reason : Phonological Motivation in English
ding-dong,An imitation of the sound of a bell.,Rhyme Over Reason : Phonological Motivation in English
dink,A drop-shot in lawn tennis.,Rhyme Over Reason : Phonological Motivation in English
dit,"In Morse telegraphy, etc.: = dot.",Rhyme Over Reason : Phonological Motivation in English
dod,"To beat, knock.",Rhyme Over Reason : Phonological Motivation in English
dong,An imitation of the deep sound of a large bell.,Rhyme Over Reason : Phonological Motivation in English
dong,To sound as a large bell.,Rhyme Over Reason : Phonological Motivation in English
doof,"Imitating the sound of a dull blow, thud, or drumbeat.",Rhyme Over Reason : Phonological Motivation in English
doo-wop,,
drant,To drawl or drone in speech.,Rhyme Over Reason : Phonological Motivation in English
draunt,To drawl or drone in speech.,Rhyme Over Reason : Phonological Motivation in English
dub,A beat of a drum; the sound of a drum when beaten.,Rhyme Over Reason : Phonological Motivation in English
dub,To thrust: now implying a moderately firm blunt thrust or poke.,Rhyme Over Reason : Phonological Motivation in English
dub-a-dub,The sound made in beating a drum.,Rhyme Over Reason : Phonological Motivation in English
duff,"Representing the sound of a dull blow, thud, or drumbeat.",Rhyme Over Reason : Phonological Motivation in English
duh,Expressing inarticulacy or incomprehension. Also (usually mildly derogatory): implying that another person has said something foolish or extremely obvious.,Rhyme Over Reason : Phonological Motivation in English
dunkadoo,,
eek,"Expressing (frequently mock) astonishment, alarm, horror, or surprise.",Rhyme Over Reason : Phonological Motivation in English
er,Used to express the inarticulate sound or murmur made by a hesitant speaker.,Rhyme Over Reason : Phonological Motivation in English
ew,"Used as an emphatic expression, chiefly of disgust, but also (formerly) of surprise or approval.",Rhyme Over Reason : Phonological Motivation in English
faffle,To stutter or stammer; to utter incoherent sounds.,Rhyme Over Reason : Phonological Motivation in English
fap fap fap,Representing the sound of (esp. male) masturbation.,Rhyme Over Reason : Phonological Motivation in English
fiff,,
fillip,A movement made by bending the last joint of a finger against the thumb and suddenly releasing it; a smart stroke or tap given by this means.,Rhyme Over Reason : Phonological Motivation in English
filly-folly,A foolish or ridiculous notion; a foolish hobby.,Rhyme Over Reason : Phonological Motivation in English
fissle,To make a slight continued noise; to rustle; to move with such a noise.,Rhyme Over Reason : Phonological Motivation in English
fistle,To make a slight continued noise; to rustle; to move with such a noise.,Rhyme Over Reason : Phonological Motivation in English
fix-fax,"Hurry, the middle of any business.",Rhyme Over Reason : Phonological Motivation in English
fiz,To make a hissing or sputtering sound.,Rhyme Over Reason : Phonological Motivation in English
fizz,To make a hissing or sputtering sound.,Rhyme Over Reason : Phonological Motivation in English
flab,To flap the wings.,Rhyme Over Reason : Phonological Motivation in English
flabby,"Hanging loose by its own weight, yielding to the touch and easily moved or shaken, flaccid, limp, soft; said chiefly of or with respect to flesh.",Rhyme Over Reason : Phonological Motivation in English
flack,"A blow, slap, or stroke.",Rhyme Over Reason : Phonological Motivation in English
flaff,"To flap, make a flapping; to flutter.",Rhyme Over Reason : Phonological Motivation in English
flam,,
flank,"To whip with a light, sudden stroke.",Rhyme Over Reason : Phonological Motivation in English
flap,To strike with a sudden blow.,Rhyme Over Reason : Phonological Motivation in English
flash,"A sudden outburst or issuing forth of flame or light; a sudden, quick, transitory blaze.",Oxford English Dictionary
flash,"A sudden movement of a body of water, a splash",Oxford English Dictionary
flasker,To flap about (as a fish); to flutter (as a bird); to flounder.,Rhyme Over Reason : Phonological Motivation in English
flatter,"To float, flutter.",Rhyme Over Reason : Phonological Motivation in English
fleg,"A random blow or kick, a stroke.",Rhyme Over Reason : Phonological Motivation in English
flerk,To make a jerking movement.,Rhyme Over Reason : Phonological Motivation in English
flibbertigibbet,A chattering or gossiping person; a flighty or frivolous woman.,Rhyme Over Reason : Phonological Motivation in English
flick,"A light blow, esp. one given with something pliant, a whip, etc., or with the finger-nail.",Rhyme Over Reason : Phonological Motivation in English
flicker,To flutter; to hover. occasionally To flap the wings; to move by flapping the wings.,Oxford English Dictionary
flim-flam,"A piece of nonsense or idle talk; a trifle, a conceit.",Rhyme Over Reason : Phonological Motivation in English
flimmer,To burn unsteadily.,Rhyme Over Reason : Phonological Motivation in English
flip,"The action or an act of tossing, or turning something over, and related senses.",Oxford English Dictionary
flipper-de-flapper,Noise and confusion caused by show.,Rhyme Over Reason : Phonological Motivation in English
flirt,"To propel or throw with a jerk or sudden movement; often, to propel by a blow from the finger-nail released from the thumb.",Rhyme Over Reason : Phonological Motivation in English
flish,To slash or cut.,Rhyme Over Reason : Phonological Motivation in English
flisk,To move or dance about in a frolicsome way; to frisk.,Rhyme Over Reason : Phonological Motivation in English
flitch,A stroke.,Rhyme Over Reason : Phonological Motivation in English
flizz,To fly off.,Rhyme Over Reason : Phonological Motivation in English
flobber,"To dirty, soil.",Rhyme Over Reason : Phonological Motivation in English
flod,To walk slowly.,Rhyme Over Reason : Phonological Motivation in English
flog,"To beat, whip; to chastise with repeated blows of a rod or whip.",Rhyme Over Reason : Phonological Motivation in English
flouse,To splash.,Rhyme Over Reason : Phonological Motivation in English
floush,To splash.,Rhyme Over Reason : Phonological Motivation in English
flummer,"To repeat indistinctly, mumble.",Rhyme Over Reason : Phonological Motivation in English
flump,To fall or move heavily with a dull noise.,Rhyme Over Reason : Phonological Motivation in English
flunge,To fly or be flung out with sudden impetus.,Rhyme Over Reason : Phonological Motivation in English
flurr,"To scatter, throw about.",Rhyme Over Reason : Phonological Motivation in English
flurry,"A sudden agitation of the air, a gust or squall.",Rhyme Over Reason : Phonological Motivation in English
flush,To fly up quickly and suddenly; to start up and fly away.,Rhyme Over Reason : Phonological Motivation in English
fnarr-fnarr,Representing lecherous or half-suppressed laughter. Frequently used to indicate sexual innuendo.,Rhyme Over Reason : Phonological Motivation in English
frab,"To harass, worry.",Rhyme Over Reason : Phonological Motivation in English
frap,A noise made by knocking.,Rhyme Over Reason : Phonological Motivation in English
fratch,To make a harsh or strident noise; to creak.,Rhyme Over Reason : Phonological Motivation in English
fribble,"To falter, stammer (out).",Rhyme Over Reason : Phonological Motivation in English
fridge,To move restlessly (about or up and down); to fidget.,Rhyme Over Reason : Phonological Motivation in English
frill,Of the eagle: to scream.,Rhyme Over Reason : Phonological Motivation in English
fruz,"A collection of short and small branches, producing a frizzy appearance.",Rhyme Over Reason : Phonological Motivation in English
fub(b),A small chubby person. Chiefly used as a term of endearment.,Rhyme Over Reason : Phonological Motivation in English
fub(b)s,A small chubby person. Chiefly used as a term of endearment.,Rhyme Over Reason : Phonological Motivation in English
fubble,To jumble (up).,Rhyme Over Reason : Phonological Motivation in English
fuff,"To puff. Said of a breeze, fire, etc.; also, of a person in anger or out of breath.",Rhyme Over Reason : Phonological Motivation in English
fuffle,"To throw into disorder; to jerk about; to hustle, treat with contumely.",Rhyme Over Reason : Phonological Motivation in English
fum,To play (on a guitar) with the fingers.,Rhyme Over Reason : Phonological Motivation in English
funk,To kick.,Rhyme Over Reason : Phonological Motivation in English
fuss,A bustle or commotion out of proportion to the occasion; a needless or excessive display of concern about anything; ostentatious or officious activity.,Rhyme Over Reason : Phonological Motivation in English
fustle,To make a bustle or commotion out of proportion to the occasion.,Rhyme Over Reason : Phonological Motivation in English
fute,To whistle.,Rhyme Over Reason : Phonological Motivation in English
fuzz,"Loose volatile matter; a mass of fine, light, fluffy particles.",Rhyme Over Reason : Phonological Motivation in English
fuzz,To make the humming sibilant sound characteristic of bees and other insects.,Rhyme Over Reason : Phonological Motivation in English
gab,"To talk much or glibly; to chatter, prate.",Rhyme Over Reason : Phonological Motivation in English
gabber,"To talk volubly, to jabber.",Rhyme Over Reason : Phonological Motivation in English
gabble,"To talk volubly, inarticulately and incoherently; to chatter, jabber, prattle.",Rhyme Over Reason : Phonological Motivation in English
gag,"A ‘made-up’ story; a piece of deception, an imposture, a lie.",Rhyme Over Reason : Phonological Motivation in English
gag,"To strangle, suffocate.",Rhyme Over Reason : Phonological Motivation in English
gag,"To jerk; to strike with a sharp blow. Also, to toss up (the head).",Rhyme Over Reason : Phonological Motivation in English
gaggle,Of geese: to cackle.,Rhyme Over Reason : Phonological Motivation in English
gah,An exclamation indicating impatience or exasperation.,Rhyme Over Reason : Phonological Motivation in English
gallop,"The most rapid movement of a horse (occasionally of other quadrupeds), in which in the course of each stride the animal is entirely off the ground, with the legs flexed under the body.",Oxford English Dictionary
gamp,To devour or eat greedily; to gulp down.,Rhyme Over Reason : Phonological Motivation in English
garre,"To growl, snarl; to chatter, chide; to chirp, twitter.",Rhyme Over Reason : Phonological Motivation in English
gawf,A loud noisy laugh.,Rhyme Over Reason : Phonological Motivation in English
gawl,To bawl out.,Rhyme Over Reason : Phonological Motivation in English
geremumble,To garbage (fish).,Rhyme Over Reason : Phonological Motivation in English
gibber,"To speak rapidly and inarticulately; to chatter, talk nonsense. Said also of an ape.",Rhyme Over Reason : Phonological Motivation in English
gig,A squeaking noise.,Oxford English Dictionary
gig,To move backwards and forwards.,Oxford English Dictionary
giggle,"To laugh continuously in a manner not uproarious, but suggestive either of foolish levity or uncontrollable amusement.",Rhyme Over Reason : Phonological Motivation in English
ging,,
ging,"To jingle, to tinkle.",Rhyme Over Reason : Phonological Motivation in English
glash,To come like a flash of light.,Rhyme Over Reason : Phonological Motivation in English
globbe,"To swallow (drink or food) quickly or in large mouthfuls, to gulp; to drink or eat gluttonously.",Rhyme Over Reason : Phonological Motivation in English
gloffer,A gluttonous eater.,Rhyme Over Reason : Phonological Motivation in English
glop,To swallow greedily.,Rhyme Over Reason : Phonological Motivation in English
glotter,"To utter a series of short, quick, usually high-pitched sounds. ",Rhyme Over Reason : Phonological Motivation in English
glub,An inarticulate sound rendered by this spelling.,Rhyme Over Reason : Phonological Motivation in English
gluck,An inarticulate sound supposed to be expressed by this spelling.,Rhyme Over Reason : Phonological Motivation in English
gluck,,
glug,A word formed to imitate an inarticulate sound.,Rhyme Over Reason : Phonological Motivation in English
glug,,
glut-glut,To swallow or gulp down.,Rhyme Over Reason : Phonological Motivation in English
glutter,A noise or fuss.,Rhyme Over Reason : Phonological Motivation in English
gnacche,"To strike (the teeth) together, as in rage or anguish.",Rhyme Over Reason : Phonological Motivation in English
gnap,To bite in a snapping fashion.,Rhyme Over Reason : Phonological Motivation in English
gnar,"To snarl, growl.",Rhyme Over Reason : Phonological Motivation in English
gnip,"To nip, bite. Of a horse: To champ (the bit).",Rhyme Over Reason : Phonological Motivation in English
go-away,,
gobble,Of a male turkey: to make its characteristic gurgling sound in the throat.,Rhyme Over Reason : Phonological Motivation in English
goggle,Of a male turkey: to make its characteristic gurgling sound in the throat.,Rhyme Over Reason : Phonological Motivation in English
gobble,Representing the characteristic gurgling sound made by a male turkey in its throat.,Rhyme Over Reason : Phonological Motivation in English
godwit,,
goggle,"Of persons: To turn the eyes to one side or other, to look obliquely, to squint.",Rhyme Over Reason : Phonological Motivation in English
golf,"Of a pig: To grunt or snort, as in rage.",Rhyme Over Reason : Phonological Motivation in English
gollar,To utter loud but thick and scarcely articulate sounds; to shout.,Oxford English Dictionary
goller,To utter loud but thick and scarcely articulate sounds; to shout.,Oxford English Dictionary
golly,To shout with a thick voice.,Rhyme Over Reason : Phonological Motivation in English
goo,To make an inarticulate cooing or gurgling noise such as that made by babies and small children.,Rhyme Over Reason : Phonological Motivation in English
goo-goo,An imitative representation of baby talk.,Rhyme Over Reason : Phonological Motivation in English
