ach	a ʃ
drelin	d ʁ ə l ɛ̃
drelin-drelin	d ʁ ə l i n d ʁ ə l ɛ̃
dreling	d ʁ ə l ɛ̃ ɡ
drigne	d ʁ i ɲ
driling	d ʁ i l ɛ̃ ɡ
drin	d ʁ ɛ̃
dring	d ʁ ɛ̃ ɡ
drinn	d ʁ ɛ n
drng	d ʁ ŋ
dzee	d z ə
dzi	d z i
dzim boum boum	d z i m b u m b u m
dzin	d z ɛ̃
dzing boum boum	d z ɛ̃ ɡ b u m b u m
dzingue	d z ɛ̃ ɡ
dziou	d z j u
dzz	d z z
ehehé	ə ə e
erck	ɛ ʁ k k
erk	ɛ ʁ k
et pan	ə t p ɑ̃
euh	ə y
eurk	œ ʁ k
fff	f f
fft	f t
fiou fiou	f j u f j u
flac	f l a k
flaf	f l a f
flan	f l ɑ̃
flap	f l a
flap-flap	f l a p f l a
flic et floc	f l i k ə t f l ɔ k
flic flac	f l i k f l a k
flic floc	f l i k f l ɔ k
fliouc	f l j u k
flip-flap	f l i p f l a
flique-flaque	f l i k ə f l a k
floc	f l ɔ k
floche	f l ɔ ʃ
flop	f l o
flotch	f l ɔ t ʃ
flou flou	f l u f l u
flouc	f l u k
flouf	f l u f
floup	f l u
floutch	f l u t ʃ
fouf	f u f
from from	f ʁ ɔ m f ʁ ɔ̃
fron fron	f ʁ ɔ n f ʁ ɔ̃
frou	f ʁ u
frou-frou	f ʁ u f ʁ u
froum froum	f ʁ u m f ʁ u m
frr	f ʁ ʁ
frrt	f ʁ ʁ t
frut	f ʁ y
fu	f y
futh	f y t
giou giou	ʒ j u ʒ j u
gla gla	ɡ l a ɡ l a
gli-gli	ɡ l i ɡ l i
gling	ɡ l ɛ̃ ɡ
gling glang	ɡ l ɛ̃ ɡ ɡ l ɑ̃ ɡ
glo glo	ɡ l ɔ ɡ l o
glop	ɡ l o
glou glou	ɡ l u ɡ l u
gloup	ɡ l u
glousser	ɡ l u s ə ʁ
glup	ɡ l y
glurps	ɡ l y ʁ
goulp	ɡ u l
gouzi-gouzi	ɡ u z i ɡ u z i
gre gre	ɡ ʁ ə ɡ ʁ
greu	ɡ ʁ ø
groaw	ɡ ʁ ɔ a w
groin-groin	ɡ ʁ w a n ɡ ʁ ɔ ɛ̃
grou	ɡ ʁ u
grou-grou	ɡ ʁ u ɡ ʁ u
grouic	ɡ ʁ w i k
grouik grouik	ɡ ʁ w i k ɡ ʁ w i k
grouin	ɡ ʁ w ɛ̃
grouïk	ɡ ʁ w j i k
grr	ɡ ʁ ʁ
grr grr	ɡ ʁ ʁ ɡ ʁ ʁ
grrr	ɡ ʁ ʁ ʁ
guili-guili	ɡ j i ɡ j i
guiling	ɡ j ɛ̃ ɡ
gulp	ɡ l
gzi	ɡ z i
ha ha	a a
ha ha ha	a a a
ha hou ha	a u a
hagn	a ɲ
hang	ɑ̃ ɡ
haow	a ɔ w
haw	a w
hem	ɑ̃
hep	ɛ
heue	ø
heum	œ m
heurgh	œ ʁ ɡ
hi	i
hi hi	i i
hi hi hi	i i i
hi-han	i ɑ̃
hic	i k
hin	ɛ̃
hiou hiou	j u j u
hk	k
hmm	m
hmpf	m p f
ho	o
ho ho	ɔ o
ho hou	ɔ u
hoquet	ɔ k ɛ
hou	u
hou hou	u u
houla	u l a
hourra	u ʁ ʁ a
hoùmpf	u m p f
hu hu	y y
hucher	y ʃ ə ʁ
huer	y ʁ
hug	y ɡ
hui hui	ɥ i ɥ i
hum	y m
humpf	y m p f
hurk	y ʁ k
hé hé	e e
hû	y
iaou	j a u
ioup	j u
kan kan	k a n k ɑ̃
kaï kaï	k a i k a i
klop klip	k l ɔ p k l i
kouï kouï	k w j i k w j i
kra	k ʁ a
krr krr	k ʁ ʁ k ʁ ʁ
ksi ksi	k s i k s i
kékéké	k e k e k e
la, la, la	l a l a l a
léon	l e ɔ̃
mene	m ə n
merrouin	m ɛ ʁ ʁ w ɛ̃
meu	m ø
meuh	m ə y
mff	m f
mgnam mgnam	m ɲ a m m ɲ ɑ̃
mheuw	m œ w
miam	m j ɑ̃
miam-miam	m j a m m j ɑ̃
miamiaoux	m j ɑ̃ j a u
miao	m j a o
miaoux	m j a u
miaw	m j a w
mien mien	m j ə n m j ɛ̃
mieum mieum	m j œ m m j œ m
miou	m j u
mmm	m m
mn	m n
mne	m n ə
mniam mniam	m n j a m m n j ɑ̃
mouaoû	m w a u
mrouin	m ʁ w ɛ̃
mrraw	m ʁ ʁ a w
mrrou	m ʁ ʁ u
mrrouing	m ʁ ʁ w ɛ̃ ɡ
myam myam	m i a m m i ɑ̃
myaoû	m i a u
mè	m ɛ
mé	m e
mêe	m ə
na	n a
niam niam	n j a m n j ɑ̃
nts	n t s
oa	ɔ a
oh	ɔ
oh oh	ɔ ɔ
oin	ɔ ɛ̃
ompf	ɔ̃ p f
oua	w a
ouab	w a b
ouach	w a ʃ
ouaf	w a f
ouah-ouah	w a w a
ouaouh	w a u
ouar ouar	w a ʁ w a ʁ
ouarf	w a ʁ f
ouerk	w ɛ ʁ k
ouf	u f
ouille	u j l
ouin	w ɛ̃
ouiz	w i
oye	w a j
paf	p a f
pah	p a
pam	p ɑ̃
pan pan	p a n p ɑ̃
pang	p ɑ̃ ɡ
panpan	p ɑ̃ p ɑ̃
panpanpan	p ɑ̃ p ɑ̃ p ɑ̃
papapa	p a p a p a
papoum	p a p u m
paratatrac	p a ʁ a t a t ʁ a k
patapan	p a t a p ɑ̃
pataplan	p a t a p l ɑ̃
patapon	p a t a p ɔ̃
patapoum	p a t a p u m
patatra	p a t a t ʁ a
patatraque	p a t a t ʁ a k
patatrot	p a t a t ʁ o
pauf	p o f
pch	p ʃ
pchi	p ʃ i
pchite	p ʃ i t
pcht	p ʃ t
pchut	p ʃ y
pfeu	p f ø
pfeuft	p f œ f
pfeuh	p f ə y
pff	p f
pfff	p f f
pflac	p f l a k
pflaf	p f l a f
pflag	p f l a ɡ
pfloc	p f l ɔ k
pfo	p f o
pfou	p f u
pfrout	p f ʁ u
pft	p f t
pfu	p f y
pfui	p f ɥ i
pfuith	p f ɥ i t
pfwit	p f w i
ph	f
phou	f u
phui	f ɥ i
pi pi	p i p i
pi-huit	p i ɥ i
pi-ouit	p i w i
pi-u	p i y
pia-pia	p j a p j a
piche	p i ʃ
pie-ü	p j ə y
pif	p i f
pif paf	p i f p a f
pif paf pouf	p i f p a f p u f
pil-ouit	p i l w i
pille	p i j
pim	p ɛ̃
pim pam poum	p i m p a m p u m
pim poum	p i m p u m
pin pan pon	p i n p a n p ɔ̃
pin-pon	p i n p ɔ̃
pin-pon-pin	p i n p ɔ n p ɛ̃
ping	p ɛ̃ ɡ
pinpon	p ɛ̃ p ɔ̃
piou	p j u
piou piou	p j u p j u
pirouite	p i ʁ w i t
plac	p l a k
plaf	p l a f
plan	p l ɑ̃
plaouf	p l a u f
plaoutch	p l a u t ʃ
plap	p l a
platch	p l a t ʃ
plic	p l i k
plic plac	p l i k p l a k
plic ploc	p l i k p l ɔ k
plin plan	p l i n p l ɑ̃
pling	p l ɛ̃ ɡ
ploc	p l ɔ k
plof	p l ɔ f
plon plon	p l ɔ n p l ɔ̃
plop	p l o
plouc	p l u k
plouf	p l u f
ploum ploum tralala	p l u m p l u m t ʁ a l a l a
ploup	p l u
plôf	p l o f
poc	p ɔ k
pof	p ɔ f
pom	p ɔ̃
pom tchouc	p ɔ m t ʃ u k
pon-pon	p ɔ n p ɔ̃
pong	p ɔ̃ ɡ
pot	p o
pou-chou	p u ʃ u
pouah	p w a
pouaim pouaim	p w ɛ m p w ɛ̃
pouet	p w ɛ
pouet pouet	p u t p w ɛ
pouf	p u f
pouic	p w i k
pouin pouin	p w i n p w ɛ̃
poum	p u m
poum pa pa	p u m p a p a
poum tchac	p u m t ʃ a k
pouêtte	p u t
pouët	p u
pouët pouët	p u t p u
prou	p ʁ u
proum	p ʁ u m
prouth	p ʁ u t
prouât	p ʁ w a
prr	p ʁ ʁ
prrt	p ʁ ʁ t
psch	p s ʃ
pschi	p s ʃ i
pschitt	p s ʃ i t
pschitt-pschitt	p s ʃ i t p s ʃ i t
pscht	p s ʃ t
pschut	p s ʃ y
psh	p s
psheu	p s ø
pshuit	p s ɥ i
pshut	p s y
psi	p s i
psi psi	p s i p s i
pss pss	p s p s
pst	p s t
ptoui	p t w i
ptt	p t
ptu	p t y
puf	p y f
ra	ʁ a
rampataplan	ʁ ɑ̃ p a t a p l ɑ̃
ran	ʁ ɑ̃
rantanplan	ʁ ɑ̃ t ɑ̃ p l ɑ̃
raoom	ʁ a ɔ ɔ̃
raou	ʁ a u
raoum	ʁ a u m
raow	ʁ a ɔ w
rapataplan	ʁ a p a t a p l ɑ̃
ratapataplan	ʁ a t a p a t a p l ɑ̃
rataplan	ʁ a t a p l ɑ̃
ratata	ʁ a t a t a
rerere	ʁ ə ʁ ə ʁ
reuh	ʁ ə y
rin	ʁ ɛ̃
ring	ʁ ɛ̃ ɡ
rlan	ʁ l ɑ̃
rli et rlan	ʁ l i ə t ʁ l ɑ̃
ron	ʁ ɔ̃
ron ron	ʁ ɔ n ʁ ɔ̃
rou rou	ʁ u ʁ u
rouaf	ʁ w a f
rouah	ʁ w a
roucoucou	ʁ u k u k u
rra	ʁ ʁ a
rrh	ʁ ʁ
rrho	ʁ ʁ o
rrr	ʁ ʁ ʁ
rrran	ʁ ʁ ʁ ɑ̃
sch	s ʃ
schlac	s ʃ l a k
schlack	s ʃ l a k k
schlaf	s ʃ l a f
schlag	s ʃ l a ɡ
schloup	s ʃ l u
schlup	s ʃ l y
schlurp	s ʃ l y ʁ
schplaf	s ʃ p l a f
scouic	s k w i k
scrogneugneu	s k ʁ ɔ ɲ œ ɲ ø
scrotch	s k ʁ ɔ t ʃ
slac	s l a k
slam	s l ɑ̃
sloup	s l u
sluirp	s l ɥ i ʁ
slup	s l y
slurp	s l y ʁ
smac	s m a k
smack	s m a k k
snif	s n i f
splach	s p l a ʃ
splaf	s p l a f
splapf	s p l a p f
splasch	s p l a s ʃ
splash	s p l a s
splatch	s p l a t ʃ
splich splach	s p l i ʃ s p l a ʃ
t	t
ta	t a
ta ta ta	t a t a t a
tac	t a k
tacata	t a k a t a
tacatac	t a k a t a k
tack	t a k k
tagada	t a ɡ a d a
tagada tagada tagada	t a ɡ a d a t a ɡ a d a t a ɡ a d a
tagada tsoin tsoin	t a ɡ a d a t s w a n t s ɔ ɛ̃
tagadac	t a ɡ a d a k
tagadagada	t a ɡ a d a ɡ a d a
tagadan	t a ɡ a d ɑ̃
tagalan	t a ɡ a l ɑ̃
tah tah	t a t a
tam-tam	t a m t ɑ̃
tamtam	t ɑ̃ t ɑ̃
tap tap	t a p t a
tap tap tap	t a p t a p t a
tapatap	t a p a t a
tapon tapon	t a p ɔ n t a p ɔ̃
taratata	t a ʁ a t a t a
tatata ti	t a t a t a t i
tch	t ʃ
tchac	t ʃ a k
tchac poum	t ʃ a k p u m
tchaf	t ʃ a f
tchakatchak	t ʃ a k a t ʃ a k
tchi tchi	t ʃ i t ʃ i
tchiac	t ʃ j a k
tchic	t ʃ i k
tchic tchac	t ʃ i k t ʃ a k
tchit	t ʃ i
tchou-tchou	t ʃ u t ʃ u
tchouck tchouk	t ʃ u k k t ʃ u k
tchouf tchouf	t ʃ u f t ʃ u f
tchoum	t ʃ u m
tcht	t ʃ t
tchu	t ʃ y
tchut tchut	t ʃ y t t ʃ y
tché	t ʃ e
teuf-teuf	t œ f t œ f
thump-thump	t y m p t y m
ti	t i
tic tac	t i k t a k
tic tac tic tac	t i k t a k t i k t a k
tic tac toc	t i k t a k t ɔ k
tic-toc	t i k t ɔ k
tin tin	t i n t ɛ̃
ting	t ɛ̃ ɡ
tink	t ɛ̃ k
tip tap	t i p t a
tip tip	t i p t i
tique	t i k
tireli	t i ʁ ə l i
tirili	t i ʁ i l i
tirlili	t i ʁ l i l i
titi tata	t i t i t a t a
tititi tata	t i t i t i t a t a
toc	t ɔ k
toc toc toc	t ɔ k t ɔ k t ɔ k
toc-toc	t ɔ k t ɔ k
tom-tom	t ɔ m t ɔ̃
top	t o
tougoudoug	t u ɡ u d u ɡ
tout	t u
tra la la	t ʁ a l a l a
tring	t ʁ ɛ̃ ɡ
trit	t ʁ i
trr	t ʁ ʁ
tsik	t s i k
tsin	t s ɛ̃
tsine	t s i n
tsing	t s ɛ̃ ɡ
tsink	t s ɛ̃ k
tsoin-tsoin	t s w a n t s ɔ ɛ̃
tsouin-tsouin	t s w i n t s w ɛ̃
tss	t s
tst	t s t
tu tu	t y t y
tui-tui	t ɥ i t ɥ i
tuit tuit	t ɥ i t t ɥ i
tut	t y
tutte	t y t
tutu-panpan	t y t y p ɑ̃ p ɑ̃
tututte	t y t y t
tuuut	t ɥ y y
tzim	t z ɛ̃
tzing	t z ɛ̃ ɡ
tziou	t z j u
uit	ɥ i
uitte	ɥ i t
uu	ɥ y
vff	v f
vlac	v l a k
vlaf	v l a f
vlam	v l ɑ̃
vlang	v l ɑ̃ ɡ
vlaouf	v l a u f
vli vlan	v l i v l ɑ̃
vlof	v l ɔ f
vloof	v l ɔ ɔ f
vlop	v l o
vlouf	v l u f
vloup	v l u
vouah	v w a
vouaou	v w a u
vouf	v u f
vouit	v w i
vouivoui	v w i v w i
vra	v ʁ a
vran	v ʁ ɑ̃
vraou	v ʁ a u
vraouf	v ʁ a u f
vraoum	v ʁ a u m
vrin	v ʁ ɛ̃
vrit	v ʁ i
vrom	v ʁ ɔ̃
vrouf	v ʁ u f
vrouh	v ʁ u
vroum	v ʁ u m
vroum vroum	v ʁ u m v ʁ u m
vrr	v ʁ ʁ
vrrr	v ʁ ʁ ʁ
vrrrrrr	v ʁ ʁ ʁ ʁ ʁ ʁ
vrrt	v ʁ ʁ t
vrum	v ʁ ɛ̃
vzif	v z i f
vziou	v z j u
vzy	v z i
vzz	v z z
waoh	w a ɔ
waouw	w a u w
waow	w a ɔ w
waw	w a w
wham	w ɑ̃
whao	w a o
whou	w u
wlaouf	w l a u f
woaou	w ɔ a u
woops	w ɔ ɔ
woowoo	w ɔ ɔ w ɔ o
wou ouh ouh	w u u u
woua	w w a
wouaf	w w a f
wouaf wouaf	w w a f w w a f
wouahah	w w a a
wouaou	w w a u
wouhao	w u a o
wouin	w w ɛ̃
wouit	w w i
wouw	w u w
wow	w ɔ w
wrah	w ʁ a
wrao	w ʁ a o
wraou	w ʁ a u
wrum	w ʁ ɛ̃
wuit	w ɥ i
xi xi	ɡ z i ɡ z i
xie xie	k s j ə ɡ z i
xrr xrr	k s ʁ ʁ k s ʁ ʁ
youp	i u
youpi	i u p i
zap	z a
zi zi	z i z i
zim	z ɛ̃
zim badaboum	z i m b a d a b u m
zim boum	z i m b u m
zim boum boum	z i m b u m b u m
zin zin	z i n z ɛ̃
zing	z ɛ̃ ɡ
zinzin	z ɛ̃ z ɛ̃
zip	z i
zip zap	z i p z a
zizi panpan	z i z i p ɑ̃ p ɑ̃
zon	z ɔ̃
zonzon	z ɔ̃ z ɔ̃
zouip	z w i
zoum	z u m
zoup	z u
zp	z p
zum	z ɛ̃
zzss	z z s
zzz	z z z
zzzzz	z z z z z
éon	e ɔ̃
don	d ɔ̃
flac	f l a k
chut	ʃ y
kouï	k w j i
codec	k ɔ d ə k
tin	t ɛ̃
cz	k z
tah	t a
kaï	k a i
fron	f ʁ ɔ̃
tralala	t ʁ a l a l a
mniam	m n j ɑ̃
clap	k l a
gre	ɡ ʁ ə
et	ɛ
aï	a i
tchouc	t ʃ u k
pouin	p w ɛ̃
ti	t i
grouik	ɡ ʁ w i k
la	l a
tap	t a
pi	p i
gling	ɡ l ɛ̃ ɡ
wou	w u
bla	b l a
glo	ɡ l o
ploum	p l u m
gla	ɡ l a
plin	p l ɛ̃
rlan	ʁ l ɑ̃
crc	k ʁ k
pss	p s
pouaim	p w ɛ̃
rou	ʁ u
din	d ɛ̃
tip	t i
crin	k ʁ ɛ̃
clip	k l i
titi	t i t i
cr	k ʁ
pan	p ɑ̃
fiou	f j u
froum	f ʁ u m
clic	k l i k
cli	k l i
giou	ʒ j u
panpan	p ɑ̃ p ɑ̃
ha	a
flic	f l i k
ouh	u
klip	k l i
baou	b a u
plon	p l ɔ̃
kan	k ɑ̃
couan	k u ɑ̃
poum	p u m
bou	b u
pom	p ɔ̃
tchouck	t ʃ u k k
di	d i
tsoin	t s ɔ ɛ̃
tchouk	t ʃ u k
tra	t ʁ a
rli	ʁ l i
cx	k k s
vlan	v l ɑ̃
ouar	w a ʁ
tuit	t ɥ i
myam	m i ɑ̃
zin	z ɛ̃
dzim	d z ɛ̃
dzing	d z ɛ̃ ɡ
brek	b ʁ ɛ k
tata	t a t a
coui	k w i
zi	z i
cuit	k ɥ i
pon	p ɔ̃
tchut	t ʃ y
niam	n j ɑ̃
krr	k ʁ ʁ
splach	s p l a ʃ
mgnam	m ɲ ɑ̃
clac	k l a k
hé	e
tititi	t i t i t i
hu	y
xi	ɡ z i
tchouf	t ʃ u f
pa	p a
tchi	t ʃ i
vli	v l i
tu	t y
xrr	k s ʁ ʁ
boum	b u m
xie	ɡ z i
cra	k ʁ a
tac	t a k
splich	s p l i ʃ
hou	u
toc	t ɔ k
mieum	m j œ m
glang	ɡ l ɑ̃ ɡ
hui	ɥ i
tapon	t a p ɔ̃
ksi	k s i
zizi	z i z i
bss	b s
tatata	t a t a t a
from	f ʁ ɔ̃
tagada	t a ɡ a d a
clop	k l o
mien	m j ɛ̃
plan	p l ɑ̃
hiou	j u
flou	f l u
floc	f l ɔ k
klop	k l o
pin	p ɛ̃
tic	t i k
css	k s
glou	ɡ l u
cot	k o
